#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 9226.69 keV Jpi=1- l=1 n=3 j=3/2"                
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       17.42    
   1.000       17.38    
   2.000       17.26    
   3.000       17.05    
   4.000       16.74    
   5.000       16.32    
   6.000       15.78    
   7.000       15.12    
   8.000       14.32    
   9.000       13.41    
   10.00       12.40    
   11.00       11.32    
   12.00       10.21    
   13.00       9.083    
   14.00       7.996    
   15.00       6.978    
   16.00       6.058    
   17.00       5.259    
   18.00       4.594    
   19.00       4.066    
   20.00       3.671    
   21.00       3.394    
   22.00       3.218    
   23.00       3.118    
   24.00       3.071    
   25.00       3.051    
   26.00       3.037    
   27.00       3.012    
   28.00       2.961    
   29.00       2.876    
   30.00       2.755    
   31.00       2.600    
   32.00       2.414    
   33.00       2.207    
   34.00       1.987    
   35.00       1.764    
   36.00       1.548    
   37.00       1.346    
   38.00       1.166    
   39.00       1.011    
   40.00      0.8855    
   41.00      0.7888    
   42.00      0.7202    
   43.00      0.6769    
   44.00      0.6553    
   45.00      0.6508    
   46.00      0.6589    
   47.00      0.6747    
   48.00      0.6939    
   49.00      0.7127    
   50.00      0.7281    
   51.00      0.7376    
   52.00      0.7397    
   53.00      0.7336    
   54.00      0.7192    
   55.00      0.6968    
   56.00      0.6672    
   57.00      0.6317    
   58.00      0.5915    
   59.00      0.5481    
   60.00      0.5030    
   61.00      0.4575    
   62.00      0.4127    
   63.00      0.3698    
   64.00      0.3295    
   65.00      0.2925    
   66.00      0.2590    
   67.00      0.2294    
   68.00      0.2038    
   69.00      0.1819    
   70.00      0.1637    
   71.00      0.1488    
   72.00      0.1370    
   73.00      0.1279    
   74.00      0.1210    
   75.00      0.1161    
   76.00      0.1128    
   77.00      0.1107    
   78.00      0.1095    
   79.00      0.1090    
   80.00      0.1089    
 END
