#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 9226.69 keV Jpi=1- l=1 n=3 j=1/2"                
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       19.98    
   1.000       19.91    
   2.000       19.71    
   3.000       19.38    
   4.000       18.90    
   5.000       18.29    
   6.000       17.53    
   7.000       16.62    
   8.000       15.59    
   9.000       14.44    
   10.00       13.19    
   11.00       11.89    
   12.00       10.55    
   13.00       9.238    
   14.00       7.977    
   15.00       6.811    
   16.00       5.772    
   17.00       4.884    
   18.00       4.158    
   19.00       3.596    
   20.00       3.191    
   21.00       2.925    
   22.00       2.776    
   23.00       2.715    
   24.00       2.716    
   25.00       2.751    
   26.00       2.796    
   27.00       2.830    
   28.00       2.839    
   29.00       2.813    
   30.00       2.747    
   31.00       2.642    
   32.00       2.501    
   33.00       2.331    
   34.00       2.142    
   35.00       1.943    
   36.00       1.743    
   37.00       1.549    
   38.00       1.370    
   39.00       1.210    
   40.00       1.071    
   41.00      0.9552    
   42.00      0.8616    
   43.00      0.7886    
   44.00      0.7335    
   45.00      0.6932    
   46.00      0.6640    
   47.00      0.6427    
   48.00      0.6260    
   49.00      0.6114    
   50.00      0.5966    
   51.00      0.5804    
   52.00      0.5619    
   53.00      0.5409    
   54.00      0.5177    
   55.00      0.4926    
   56.00      0.4666    
   57.00      0.4404    
   58.00      0.4147    
   59.00      0.3904    
   60.00      0.3678    
   61.00      0.3475    
   62.00      0.3296    
   63.00      0.3141    
   64.00      0.3008    
   65.00      0.2895    
   66.00      0.2797    
   67.00      0.2709    
   68.00      0.2627    
   69.00      0.2545    
   70.00      0.2459    
   71.00      0.2367    
   72.00      0.2265    
   73.00      0.2153    
   74.00      0.2031    
   75.00      0.1899    
   76.00      0.1759    
   77.00      0.1614    
   78.00      0.1466    
   79.00      0.1318    
   80.00      0.1174    
 END
