#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 7532 keV Jpi=2- l=1 n=3 j=3/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       44.33    
   1.000       44.45    
   2.000       44.76    
   3.000       45.19    
   4.000       45.60    
   5.000       45.85    
   6.000       45.77    
   7.000       45.22    
   8.000       44.09    
   9.000       42.31    
   10.00       39.89    
   11.00       36.89    
   12.00       33.42    
   13.00       29.66    
   14.00       25.79    
   15.00       22.00    
   16.00       18.48    
   17.00       15.37    
   18.00       12.77    
   19.00       10.73    
   20.00       9.237    
   21.00       8.259    
   22.00       7.716    
   23.00       7.511    
   24.00       7.536    
   25.00       7.685    
   26.00       7.861    
   27.00       7.984    
   28.00       7.995    
   29.00       7.857    
   30.00       7.559    
   31.00       7.110    
   32.00       6.534    
   33.00       5.867    
   34.00       5.150    
   35.00       4.426    
   36.00       3.732    
   37.00       3.099    
   38.00       2.551    
   39.00       2.103    
   40.00       1.762    
   41.00       1.525    
   42.00       1.384    
   43.00       1.327    
   44.00       1.336    
   45.00       1.392    
   46.00       1.475    
   47.00       1.570    
   48.00       1.661    
   49.00       1.736    
   50.00       1.787    
   51.00       1.810    
   52.00       1.803    
   53.00       1.766    
   54.00       1.701    
   55.00       1.614    
   56.00       1.507    
   57.00       1.389    
   58.00       1.263    
   59.00       1.136    
   60.00       1.011    
   61.00      0.8938    
   62.00      0.7861    
   63.00      0.6899    
   64.00      0.6060    
   65.00      0.5348    
   66.00      0.4756    
   67.00      0.4276    
   68.00      0.3897    
   69.00      0.3603    
   70.00      0.3382    
   71.00      0.3216    
   72.00      0.3093    
   73.00      0.2999    
   74.00      0.2924    
   75.00      0.2859    
   76.00      0.2798    
   77.00      0.2738    
   78.00      0.2676    
   79.00      0.2612    
   80.00      0.2546    
 END
