#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 7623 keV Jpi=3+ l=2 n=3 j=5/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       37.51    
   1.000       37.61    
   2.000       37.91    
   3.000       38.39    
   4.000       39.03    
   5.000       39.80    
   6.000       40.64    
   7.000       41.51    
   8.000       42.32    
   9.000       43.00    
   10.00       43.47    
   11.00       43.65    
   12.00       43.46    
   13.00       42.84    
   14.00       41.77    
   15.00       40.22    
   16.00       38.24    
   17.00       35.86    
   18.00       33.16    
   19.00       30.25    
   20.00       27.23    
   21.00       24.20    
   22.00       21.26    
   23.00       18.50    
   24.00       16.00    
   25.00       13.79    
   26.00       11.92    
   27.00       10.39    
   28.00       9.172    
   29.00       8.252    
   30.00       7.581    
   31.00       7.110    
   32.00       6.785    
   33.00       6.555    
   34.00       6.373    
   35.00       6.200    
   36.00       6.007    
   37.00       5.776    
   38.00       5.497    
   39.00       5.169    
   40.00       4.798    
   41.00       4.394    
   42.00       3.971    
   43.00       3.547    
   44.00       3.134    
   45.00       2.749    
   46.00       2.402    
   47.00       2.102    
   48.00       1.853    
   49.00       1.656    
   50.00       1.508    
   51.00       1.406    
   52.00       1.342    
   53.00       1.308    
   54.00       1.296    
   55.00       1.297    
   56.00       1.303    
   57.00       1.307    
   58.00       1.305    
   59.00       1.292    
   60.00       1.265    
   61.00       1.225    
   62.00       1.171    
   63.00       1.105    
   64.00       1.030    
   65.00      0.9477    
   66.00      0.8623    
   67.00      0.7766    
   68.00      0.6936    
   69.00      0.6157    
   70.00      0.5450    
   71.00      0.4828    
   72.00      0.4299    
   73.00      0.3866    
   74.00      0.3527    
   75.00      0.3275    
   76.00      0.3101    
   77.00      0.2990    
   78.00      0.2930    
   79.00      0.2905    
   80.00      0.2901    
 END
