#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 7623 keV Jpi=3- l=5 n=1 j=9/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000      0.3417    
   1.000      0.3410    
   2.000      0.3390    
   3.000      0.3357    
   4.000      0.3310    
   5.000      0.3250    
   6.000      0.3179    
   7.000      0.3102    
   8.000      0.3023    
   9.000      0.2949    
   10.00      0.2886    
   11.00      0.2840    
   12.00      0.2815    
   13.00      0.2815    
   14.00      0.2842    
   15.00      0.2898    
   16.00      0.2983    
   17.00      0.3097    
   18.00      0.3240    
   19.00      0.3409    
   20.00      0.3603    
   21.00      0.3818    
   22.00      0.4047    
   23.00      0.4287    
   24.00      0.4528    
   25.00      0.4765    
   26.00      0.4990    
   27.00      0.5195    
   28.00      0.5373    
   29.00      0.5517    
   30.00      0.5621    
   31.00      0.5681    
   32.00      0.5695    
   33.00      0.5661    
   34.00      0.5579    
   35.00      0.5452    
   36.00      0.5282    
   37.00      0.5072    
   38.00      0.4827    
   39.00      0.4552    
   40.00      0.4253    
   41.00      0.3939    
   42.00      0.3617    
   43.00      0.3294    
   44.00      0.2979    
   45.00      0.2678    
   46.00      0.2397    
   47.00      0.2139    
   48.00      0.1907    
   49.00      0.1703    
   50.00      0.1527    
   51.00      0.1379    
   52.00      0.1258    
   53.00      0.1163    
   54.00      0.1092    
   55.00      0.1043    
   56.00      0.1011    
   57.00      0.9928E-01
   58.00      0.9847E-01
   59.00      0.9829E-01
   60.00      0.9842E-01
   61.00      0.9862E-01
   62.00      0.9869E-01
   63.00      0.9850E-01
   64.00      0.9796E-01
   65.00      0.9699E-01
   66.00      0.9554E-01
   67.00      0.9356E-01
   68.00      0.9104E-01
   69.00      0.8802E-01
   70.00      0.8455E-01
   71.00      0.8077E-01
   72.00      0.7680E-01
   73.00      0.7278E-01
   74.00      0.6885E-01
   75.00      0.6508E-01
   76.00      0.6151E-01
   77.00      0.5813E-01
   78.00      0.5494E-01
   79.00      0.5192E-01
   80.00      0.4906E-01
 END
