#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 9662 keV Jpi=3- l=5 n=1 j=9/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000      0.5046    
   1.000      0.5048    
   2.000      0.5052    
   3.000      0.5052    
   4.000      0.5038    
   5.000      0.5002    
   6.000      0.4941    
   7.000      0.4855    
   8.000      0.4751    
   9.000      0.4638    
   10.00      0.4530    
   11.00      0.4437    
   12.00      0.4367    
   13.00      0.4325    
   14.00      0.4308    
   15.00      0.4316    
   16.00      0.4344    
   17.00      0.4389    
   18.00      0.4449    
   19.00      0.4524    
   20.00      0.4614    
   21.00      0.4716    
   22.00      0.4828    
   23.00      0.4944    
   24.00      0.5057    
   25.00      0.5163    
   26.00      0.5253    
   27.00      0.5325    
   28.00      0.5375    
   29.00      0.5403    
   30.00      0.5406    
   31.00      0.5385    
   32.00      0.5338    
   33.00      0.5262    
   34.00      0.5155    
   35.00      0.5016    
   36.00      0.4846    
   37.00      0.4646    
   38.00      0.4421    
   39.00      0.4176    
   40.00      0.3918    
   41.00      0.3653    
   42.00      0.3389    
   43.00      0.3128    
   44.00      0.2874    
   45.00      0.2631    
   46.00      0.2399    
   47.00      0.2181    
   48.00      0.1979    
   49.00      0.1793    
   50.00      0.1628    
   51.00      0.1483    
   52.00      0.1361    
   53.00      0.1260    
   54.00      0.1179    
   55.00      0.1117    
   56.00      0.1069    
   57.00      0.1033    
   58.00      0.1006    
   59.00      0.9847E-01
   60.00      0.9675E-01
   61.00      0.9528E-01
   62.00      0.9396E-01
   63.00      0.9274E-01
   64.00      0.9154E-01
   65.00      0.9029E-01
   66.00      0.8892E-01
   67.00      0.8733E-01
   68.00      0.8543E-01
   69.00      0.8314E-01
   70.00      0.8044E-01
   71.00      0.7732E-01
   72.00      0.7385E-01
   73.00      0.7011E-01
   74.00      0.6625E-01
   75.00      0.6239E-01
   76.00      0.5865E-01
   77.00      0.5513E-01
   78.00      0.5188E-01
   79.00      0.4893E-01
   80.00      0.4625E-01
 END
