#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 9405 keV Jpi=2- l=3 n=2 j=7/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       8.473    
   1.000       8.483    
   2.000       8.513    
   3.000       8.560    
   4.000       8.621    
   5.000       8.691    
   6.000       8.765    
   7.000       8.837    
   8.000       8.900    
   9.000       8.946    
   10.00       8.970    
   11.00       8.965    
   12.00       8.926    
   13.00       8.849    
   14.00       8.729    
   15.00       8.566    
   16.00       8.357    
   17.00       8.102    
   18.00       7.804    
   19.00       7.463    
   20.00       7.086    
   21.00       6.677    
   22.00       6.243    
   23.00       5.792    
   24.00       5.333    
   25.00       4.873    
   26.00       4.423    
   27.00       3.988    
   28.00       3.577    
   29.00       3.194    
   30.00       2.846    
   31.00       2.535    
   32.00       2.264    
   33.00       2.032    
   34.00       1.840    
   35.00       1.683    
   36.00       1.560    
   37.00       1.465    
   38.00       1.394    
   39.00       1.342    
   40.00       1.303    
   41.00       1.272    
   42.00       1.246    
   43.00       1.220    
   44.00       1.192    
   45.00       1.159    
   46.00       1.120    
   47.00       1.074    
   48.00       1.021    
   49.00      0.9611    
   50.00      0.8962    
   51.00      0.8276    
   52.00      0.7568    
   53.00      0.6857    
   54.00      0.6161    
   55.00      0.5494    
   56.00      0.4870    
   57.00      0.4300    
   58.00      0.3790    
   59.00      0.3345    
   60.00      0.2966    
   61.00      0.2653    
   62.00      0.2401    
   63.00      0.2205    
   64.00      0.2058    
   65.00      0.1952    
   66.00      0.1878    
   67.00      0.1828    
   68.00      0.1794    
   69.00      0.1768    
   70.00      0.1745    
   71.00      0.1721    
   72.00      0.1691    
   73.00      0.1655    
   74.00      0.1611    
   75.00      0.1559    
   76.00      0.1500    
   77.00      0.1435    
   78.00      0.1366    
   79.00      0.1295    
   80.00      0.1224    
 END
