#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 6582 keV Jpi=3- l=5 n=1 j=9/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000      0.2402    
   1.000      0.2394    
   2.000      0.2373    
   3.000      0.2339    
   4.000      0.2293    
   5.000      0.2238    
   6.000      0.2177    
   7.000      0.2112    
   8.000      0.2049    
   9.000      0.1990    
   10.00      0.1940    
   11.00      0.1903    
   12.00      0.1883    
   13.00      0.1883    
   14.00      0.1906    
   15.00      0.1956    
   16.00      0.2034    
   17.00      0.2140    
   18.00      0.2275    
   19.00      0.2438    
   20.00      0.2626    
   21.00      0.2836    
   22.00      0.3065    
   23.00      0.3307    
   24.00      0.3556    
   25.00      0.3806    
   26.00      0.4049    
   27.00      0.4278    
   28.00      0.4486    
   29.00      0.4666    
   30.00      0.4812    
   31.00      0.4917    
   32.00      0.4979    
   33.00      0.4993    
   34.00      0.4959    
   35.00      0.4877    
   36.00      0.4749    
   37.00      0.4577    
   38.00      0.4368    
   39.00      0.4126    
   40.00      0.3859    
   41.00      0.3574    
   42.00      0.3279    
   43.00      0.2981    
   44.00      0.2688    
   45.00      0.2407    
   46.00      0.2142    
   47.00      0.1900    
   48.00      0.1683    
   49.00      0.1494    
   50.00      0.1334    
   51.00      0.1203    
   52.00      0.1099    
   53.00      0.1021    
   54.00      0.9654E-01
   55.00      0.9295E-01
   56.00      0.9096E-01
   57.00      0.9022E-01
   58.00      0.9036E-01
   59.00      0.9105E-01
   60.00      0.9200E-01
   61.00      0.9294E-01
   62.00      0.9366E-01
   63.00      0.9400E-01
   64.00      0.9386E-01
   65.00      0.9317E-01
   66.00      0.9190E-01
   67.00      0.9007E-01
   68.00      0.8774E-01
   69.00      0.8497E-01
   70.00      0.8185E-01
   71.00      0.7846E-01
   72.00      0.7492E-01
   73.00      0.7130E-01
   74.00      0.6768E-01
   75.00      0.6415E-01
   76.00      0.6075E-01
   77.00      0.5754E-01
   78.00      0.5453E-01
   79.00      0.5174E-01
   80.00      0.4919E-01
 END
