#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 8188 keV Jpi=4- l=3 n=2 j=5/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       14.57    
   1.000       14.62    
   2.000       14.76    
   3.000       14.99    
   4.000       15.29    
   5.000       15.67    
   6.000       16.09    
   7.000       16.56    
   8.000       17.04    
   9.000       17.51    
   10.00       17.95    
   11.00       18.35    
   12.00       18.67    
   13.00       18.90    
   14.00       19.02    
   15.00       19.02    
   16.00       18.88    
   17.00       18.59    
   18.00       18.15    
   19.00       17.55    
   20.00       16.81    
   21.00       15.93    
   22.00       14.93    
   23.00       13.83    
   24.00       12.67    
   25.00       11.47    
   26.00       10.27    
   27.00       9.095    
   28.00       7.976    
   29.00       6.935    
   30.00       5.989    
   31.00       5.152    
   32.00       4.431    
   33.00       3.828    
   34.00       3.342    
   35.00       2.966    
   36.00       2.692    
   37.00       2.505    
   38.00       2.390    
   39.00       2.330    
   40.00       2.309    
   41.00       2.309    
   42.00       2.316    
   43.00       2.321    
   44.00       2.312    
   45.00       2.286    
   46.00       2.238    
   47.00       2.168    
   48.00       2.076    
   49.00       1.965    
   50.00       1.838    
   51.00       1.699    
   52.00       1.552    
   53.00       1.403    
   54.00       1.255    
   55.00       1.114    
   56.00      0.9831    
   57.00      0.8645    
   58.00      0.7600    
   59.00      0.6704    
   60.00      0.5954    
   61.00      0.5343    
   62.00      0.4856    
   63.00      0.4477    
   64.00      0.4186    
   65.00      0.3966    
   66.00      0.3797    
   67.00      0.3663    
   68.00      0.3550    
   69.00      0.3444    
   70.00      0.3337    
   71.00      0.3223    
   72.00      0.3098    
   73.00      0.2961    
   74.00      0.2816    
   75.00      0.2664    
   76.00      0.2511    
   77.00      0.2363    
   78.00      0.2223    
   79.00      0.2097    
   80.00      0.1987    
 END
