#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 8748 keV Jpi=2+ l=2 n=2 j=3/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       15.99    
   1.000       16.01    
   2.000       16.08    
   3.000       16.19    
   4.000       16.32    
   5.000       16.46    
   6.000       16.60    
   7.000       16.70    
   8.000       16.76    
   9.000       16.74    
   10.00       16.63    
   11.00       16.40    
   12.00       16.06    
   13.00       15.58    
   14.00       14.97    
   15.00       14.24    
   16.00       13.40    
   17.00       12.46    
   18.00       11.46    
   19.00       10.43    
   20.00       9.397    
   21.00       8.389    
   22.00       7.433    
   23.00       6.553    
   24.00       5.763    
   25.00       5.075    
   26.00       4.492    
   27.00       4.013    
   28.00       3.629    
   29.00       3.330    
   30.00       3.104    
   31.00       2.933    
   32.00       2.803    
   33.00       2.699    
   34.00       2.608    
   35.00       2.518    
   36.00       2.422    
   37.00       2.315    
   38.00       2.194    
   39.00       2.060    
   40.00       1.913    
   41.00       1.758    
   42.00       1.599    
   43.00       1.440    
   44.00       1.286    
   45.00       1.141    
   46.00       1.009    
   47.00      0.8921    
   48.00      0.7913    
   49.00      0.7072    
   50.00      0.6392    
   51.00      0.5860    
   52.00      0.5456    
   53.00      0.5157    
   54.00      0.4936    
   55.00      0.4768    
   56.00      0.4630    
   57.00      0.4503    
   58.00      0.4369    
   59.00      0.4218    
   60.00      0.4043    
   61.00      0.3841    
   62.00      0.3615    
   63.00      0.3368    
   64.00      0.3108    
   65.00      0.2843    
   66.00      0.2584    
   67.00      0.2339    
   68.00      0.2116    
   69.00      0.1923    
   70.00      0.1764    
   71.00      0.1642    
   72.00      0.1558    
   73.00      0.1510    
   74.00      0.1495    
   75.00      0.1508    
   76.00      0.1544    
   77.00      0.1596    
   78.00      0.1657    
   79.00      0.1721    
   80.00      0.1781    
 END
