#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 8019 keV Jpi=0+ l=2 n=2 j=3/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       3.492    
   1.000       3.499    
   2.000       3.521    
   3.000       3.555    
   4.000       3.600    
   5.000       3.652    
   6.000       3.706    
   7.000       3.758    
   8.000       3.801    
   9.000       3.827    
   10.00       3.831    
   11.00       3.807    
   12.00       3.750    
   13.00       3.657    
   14.00       3.528    
   15.00       3.363    
   16.00       3.167    
   17.00       2.945    
   18.00       2.703    
   19.00       2.450    
   20.00       2.193    
   21.00       1.942    
   22.00       1.702    
   23.00       1.482    
   24.00       1.284    
   25.00       1.114    
   26.00      0.9705    
   27.00      0.8548    
   28.00      0.7647    
   29.00      0.6970    
   30.00      0.6481    
   31.00      0.6135    
   32.00      0.5891    
   33.00      0.5708    
   34.00      0.5552    
   35.00      0.5395    
   36.00      0.5215    
   37.00      0.5000    
   38.00      0.4746    
   39.00      0.4452    
   40.00      0.4125    
   41.00      0.3774    
   42.00      0.3412    
   43.00      0.3051    
   44.00      0.2704    
   45.00      0.2381    
   46.00      0.2090    
   47.00      0.1837    
   48.00      0.1625    
   49.00      0.1454    
   50.00      0.1322    
   51.00      0.1223    
   52.00      0.1153    
   53.00      0.1105    
   54.00      0.1072    
   55.00      0.1048    
   56.00      0.1027    
   57.00      0.1004    
   58.00      0.9764E-01
   59.00      0.9414E-01
   60.00      0.8981E-01
   61.00      0.8467E-01
   62.00      0.7884E-01
   63.00      0.7250E-01
   64.00      0.6588E-01
   65.00      0.5926E-01
   66.00      0.5289E-01
   67.00      0.4701E-01
   68.00      0.4182E-01
   69.00      0.3749E-01
   70.00      0.3410E-01
   71.00      0.3170E-01
   72.00      0.3026E-01
   73.00      0.2972E-01
   74.00      0.2997E-01
   75.00      0.3085E-01
   76.00      0.3220E-01
   77.00      0.3385E-01
   78.00      0.3562E-01
   79.00      0.3733E-01
   80.00      0.3885E-01
 END
