#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 8995 keV Jpi=2+ l=0 n=3 j=1/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       45.95    
   1.000       45.39    
   2.000       43.77    
   3.000       41.17    
   4.000       37.76    
   5.000       33.74    
   6.000       29.34    
   7.000       24.81    
   8.000       20.37    
   9.000       16.23    
   10.00       12.55    
   11.00       9.438    
   12.00       6.946    
   13.00       5.074    
   14.00       3.777    
   15.00       2.978    
   16.00       2.577    
   17.00       2.466    
   18.00       2.542    
   19.00       2.710    
   20.00       2.895    
   21.00       3.044    
   22.00       3.124    
   23.00       3.123    
   24.00       3.048    
   25.00       2.913    
   26.00       2.743    
   27.00       2.565    
   28.00       2.401    
   29.00       2.270    
   30.00       2.186    
   31.00       2.153    
   32.00       2.170    
   33.00       2.230    
   34.00       2.323    
   35.00       2.433    
   36.00       2.546    
   37.00       2.648    
   38.00       2.724    
   39.00       2.767    
   40.00       2.768    
   41.00       2.724    
   42.00       2.636    
   43.00       2.508    
   44.00       2.344    
   45.00       2.151    
   46.00       1.939    
   47.00       1.715    
   48.00       1.489    
   49.00       1.268    
   50.00       1.058    
   51.00      0.8664    
   52.00      0.6963    
   53.00      0.5505    
   54.00      0.4306    
   55.00      0.3367    
   56.00      0.2678    
   57.00      0.2221    
   58.00      0.1973    
   59.00      0.1905    
   60.00      0.1985    
   61.00      0.2180    
   62.00      0.2459    
   63.00      0.2790    
   64.00      0.3147    
   65.00      0.3503    
   66.00      0.3838    
   67.00      0.4135    
   68.00      0.4381    
   69.00      0.4568    
   70.00      0.4689    
   71.00      0.4742    
   72.00      0.4727    
   73.00      0.4648    
   74.00      0.4510    
   75.00      0.4318    
   76.00      0.4083    
   77.00      0.3812    
   78.00      0.3514    
   79.00      0.3200    
   80.00      0.2877    
 END
