#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 9227.43 keV Jpi=1- l=3 n=1 j=5/2"                
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       1.774    
   1.000       1.777    
   2.000       1.787    
   3.000       1.802    
   4.000       1.823    
   5.000       1.849    
   6.000       1.879    
   7.000       1.911    
   8.000       1.943    
   9.000       1.974    
   10.00       2.002    
   11.00       2.024    
   12.00       2.039    
   13.00       2.046    
   14.00       2.042    
   15.00       2.028    
   16.00       2.001    
   17.00       1.962    
   18.00       1.910    
   19.00       1.845    
   20.00       1.768    
   21.00       1.680    
   22.00       1.582    
   23.00       1.477    
   24.00       1.366    
   25.00       1.253    
   26.00       1.139    
   27.00       1.027    
   28.00      0.9189    
   29.00      0.8174    
   30.00      0.7238    
   31.00      0.6394    
   32.00      0.5651    
   33.00      0.5015    
   34.00      0.4485    
   35.00      0.4056    
   36.00      0.3722    
   37.00      0.3471    
   38.00      0.3291    
   39.00      0.3168    
   40.00      0.3087    
   41.00      0.3035    
   42.00      0.3001    
   43.00      0.2972    
   44.00      0.2940    
   45.00      0.2897    
   46.00      0.2838    
   47.00      0.2760    
   48.00      0.2661    
   49.00      0.2543    
   50.00      0.2406    
   51.00      0.2255    
   52.00      0.2094    
   53.00      0.1927    
   54.00      0.1759    
   55.00      0.1594    
   56.00      0.1436    
   57.00      0.1286    
   58.00      0.1149    
   59.00      0.1024    
   60.00      0.9137E-01
   61.00      0.8174E-01
   62.00      0.7351E-01
   63.00      0.6660E-01
   64.00      0.6090E-01
   65.00      0.5627E-01
   66.00      0.5255E-01
   67.00      0.4958E-01
   68.00      0.4720E-01
   69.00      0.4525E-01
   70.00      0.4361E-01
   71.00      0.4217E-01
   72.00      0.4085E-01
   73.00      0.3960E-01
   74.00      0.3838E-01
   75.00      0.3718E-01
   76.00      0.3599E-01
   77.00      0.3482E-01
   78.00      0.3368E-01
   79.00      0.3257E-01
   80.00      0.3151E-01
 END
