#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 7658 keV Jpi=4- l=5 n=1 j=11/2"                  
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000      0.2879    
   1.000      0.2879    
   2.000      0.2879    
   3.000      0.2879    
   4.000      0.2882    
   5.000      0.2889    
   6.000      0.2902    
   7.000      0.2923    
   8.000      0.2956    
   9.000      0.3001    
   10.00      0.3063    
   11.00      0.3141    
   12.00      0.3238    
   13.00      0.3355    
   14.00      0.3492    
   15.00      0.3651    
   16.00      0.3831    
   17.00      0.4031    
   18.00      0.4250    
   19.00      0.4485    
   20.00      0.4734    
   21.00      0.4994    
   22.00      0.5259    
   23.00      0.5525    
   24.00      0.5787    
   25.00      0.6039    
   26.00      0.6274    
   27.00      0.6485    
   28.00      0.6667    
   29.00      0.6813    
   30.00      0.6917    
   31.00      0.6975    
   32.00      0.6982    
   33.00      0.6936    
   34.00      0.6836    
   35.00      0.6683    
   36.00      0.6479    
   37.00      0.6227    
   38.00      0.5935    
   39.00      0.5607    
   40.00      0.5253    
   41.00      0.4881    
   42.00      0.4498    
   43.00      0.4114    
   44.00      0.3736    
   45.00      0.3371    
   46.00      0.3027    
   47.00      0.2707    
   48.00      0.2417    
   49.00      0.2159    
   50.00      0.1934    
   51.00      0.1743    
   52.00      0.1586    
   53.00      0.1459    
   54.00      0.1361    
   55.00      0.1289    
   56.00      0.1238    
   57.00      0.1205    
   58.00      0.1186    
   59.00      0.1177    
   60.00      0.1175    
   61.00      0.1175    
   62.00      0.1176    
   63.00      0.1175    
   64.00      0.1171    
   65.00      0.1162    
   66.00      0.1149    
   67.00      0.1130    
   68.00      0.1106    
   69.00      0.1078    
   70.00      0.1045    
   71.00      0.1010    
   72.00      0.9724E-01
   73.00      0.9337E-01
   74.00      0.8947E-01
   75.00      0.8561E-01
   76.00      0.8185E-01
   77.00      0.7824E-01
   78.00      0.7482E-01
   79.00      0.7160E-01
   80.00      0.6860E-01
 END
