#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 9432 keV Jpi=1- l=1 n=3 j=3/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       15.98    
   1.000       15.93    
   2.000       15.81    
   3.000       15.59    
   4.000       15.27    
   5.000       14.85    
   6.000       14.32    
   7.000       13.68    
   8.000       12.93    
   9.000       12.09    
   10.00       11.16    
   11.00       10.18    
   12.00       9.173    
   13.00       8.167    
   14.00       7.197    
   15.00       6.294    
   16.00       5.482    
   17.00       4.778    
   18.00       4.194    
   19.00       3.732    
   20.00       3.385    
   21.00       3.141    
   22.00       2.984    
   23.00       2.893    
   24.00       2.847    
   25.00       2.824    
   26.00       2.807    
   27.00       2.779    
   28.00       2.729    
   29.00       2.650    
   30.00       2.539    
   31.00       2.397    
   32.00       2.229    
   33.00       2.042    
   34.00       1.843    
   35.00       1.642    
   36.00       1.446    
   37.00       1.263    
   38.00       1.100    
   39.00      0.9587    
   40.00      0.8432    
   41.00      0.7537    
   42.00      0.6892    
   43.00      0.6476    
   44.00      0.6257    
   45.00      0.6196    
   46.00      0.6252    
   47.00      0.6382    
   48.00      0.6547    
   49.00      0.6713    
   50.00      0.6851    
   51.00      0.6940    
   52.00      0.6963    
   53.00      0.6914    
   54.00      0.6789    
   55.00      0.6591    
   56.00      0.6327    
   57.00      0.6007    
   58.00      0.5642    
   59.00      0.5246    
   60.00      0.4830    
   61.00      0.4407    
   62.00      0.3988    
   63.00      0.3583    
   64.00      0.3200    
   65.00      0.2845    
   66.00      0.2522    
   67.00      0.2234    
   68.00      0.1982    
   69.00      0.1765    
   70.00      0.1583    
   71.00      0.1433    
   72.00      0.1313    
   73.00      0.1220    
   74.00      0.1149    
   75.00      0.1098    
   76.00      0.1064    
   77.00      0.1042    
   78.00      0.1031    
   79.00      0.1027    
   80.00      0.1028    
 END
