#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 9136 keV Jpi=2- l=1 n=3 j=1/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       34.61    
   1.000       34.50    
   2.000       34.19    
   3.000       33.65    
   4.000       32.88    
   5.000       31.86    
   6.000       30.59    
   7.000       29.05    
   8.000       27.27    
   9.000       25.27    
   10.00       23.09    
   11.00       20.80    
   12.00       18.47    
   13.00       16.15    
   14.00       13.94    
   15.00       11.90    
   16.00       10.08    
   17.00       8.515    
   18.00       7.240    
   19.00       6.253    
   20.00       5.540    
   21.00       5.072    
   22.00       4.810    
   23.00       4.706    
   24.00       4.711    
   25.00       4.776    
   26.00       4.858    
   27.00       4.920    
   28.00       4.936    
   29.00       4.889    
   30.00       4.771    
   31.00       4.583    
   32.00       4.333    
   33.00       4.034    
   34.00       3.700    
   35.00       3.350    
   36.00       2.999    
   37.00       2.661    
   38.00       2.348    
   39.00       2.069    
   40.00       1.829    
   41.00       1.629    
   42.00       1.469    
   43.00       1.345    
   44.00       1.252    
   45.00       1.185    
   46.00       1.136    
   47.00       1.101    
   48.00       1.074    
   49.00       1.049    
   50.00       1.025    
   51.00      0.9968    
   52.00      0.9649    
   53.00      0.9286    
   54.00      0.8881    
   55.00      0.8445    
   56.00      0.7990    
   57.00      0.7532    
   58.00      0.7085    
   59.00      0.6662    
   60.00      0.6271    
   61.00      0.5921    
   62.00      0.5615    
   63.00      0.5351    
   64.00      0.5126    
   65.00      0.4935    
   66.00      0.4770    
   67.00      0.4623    
   68.00      0.4484    
   69.00      0.4346    
   70.00      0.4202    
   71.00      0.4045    
   72.00      0.3871    
   73.00      0.3680    
   74.00      0.3469    
   75.00      0.3242    
   76.00      0.3000    
   77.00      0.2748    
   78.00      0.2491    
   79.00      0.2235    
   80.00      0.1985    
 END
