#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 9405 keV Jpi=0+ l=2 n=1 j=3/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       1.120    
   1.000       1.122    
   2.000       1.126    
   3.000       1.133    
   4.000       1.141    
   5.000       1.150    
   6.000       1.157    
   7.000       1.162    
   8.000       1.163    
   9.000       1.158    
   10.00       1.146    
   11.00       1.127    
   12.00       1.099    
   13.00       1.063    
   14.00       1.018    
   15.00      0.9658    
   16.00      0.9064    
   17.00      0.8415    
   18.00      0.7729    
   19.00      0.7024    
   20.00      0.6321    
   21.00      0.5639    
   22.00      0.4995    
   23.00      0.4404    
   24.00      0.3876    
   25.00      0.3417    
   26.00      0.3030    
   27.00      0.2714    
   28.00      0.2463    
   29.00      0.2271    
   30.00      0.2129    
   31.00      0.2026    
   32.00      0.1951    
   33.00      0.1896    
   34.00      0.1851    
   35.00      0.1807    
   36.00      0.1760    
   37.00      0.1704    
   38.00      0.1637    
   39.00      0.1559    
   40.00      0.1470    
   41.00      0.1372    
   42.00      0.1268    
   43.00      0.1161    
   44.00      0.1054    
   45.00      0.9508E-01
   46.00      0.8533E-01
   47.00      0.7640E-01
   48.00      0.6845E-01
   49.00      0.6156E-01
   50.00      0.5576E-01
   51.00      0.5102E-01
   52.00      0.4724E-01
   53.00      0.4431E-01
   54.00      0.4208E-01
   55.00      0.4039E-01
   56.00      0.3907E-01
   57.00      0.3798E-01
   58.00      0.3698E-01
   59.00      0.3595E-01
   60.00      0.3482E-01
   61.00      0.3352E-01
   62.00      0.3204E-01
   63.00      0.3036E-01
   64.00      0.2851E-01
   65.00      0.2652E-01
   66.00      0.2444E-01
   67.00      0.2232E-01
   68.00      0.2022E-01
   69.00      0.1818E-01
   70.00      0.1625E-01
   71.00      0.1447E-01
   72.00      0.1287E-01
   73.00      0.1146E-01
   74.00      0.1026E-01
   75.00      0.9258E-02
   76.00      0.8454E-02
   77.00      0.7828E-02
   78.00      0.7355E-02
   79.00      0.7010E-02
   80.00      0.6765E-02
 END
