#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 8995 keV Jpi=2+ l=0 n=4 j=1/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       55.58    
   1.000       54.84    
   2.000       52.66    
   3.000       49.20    
   4.000       44.68    
   5.000       39.41    
   6.000       33.71    
   7.000       27.93    
   8.000       22.38    
   9.000       17.34    
   10.00       13.01    
   11.00       9.523    
   12.00       6.932    
   13.00       5.215    
   14.00       4.283    
   15.00       4.004    
   16.00       4.213    
   17.00       4.739    
   18.00       5.418    
   19.00       6.105    
   20.00       6.689    
   21.00       7.094    
   22.00       7.279    
   23.00       7.237    
   24.00       6.988    
   25.00       6.571    
   26.00       6.038    
   27.00       5.441    
   28.00       4.834    
   29.00       4.261    
   30.00       3.756    
   31.00       3.340    
   32.00       3.024    
   33.00       2.805    
   34.00       2.675    
   35.00       2.618    
   36.00       2.613    
   37.00       2.640    
   38.00       2.679    
   39.00       2.711    
   40.00       2.724    
   41.00       2.707    
   42.00       2.654    
   43.00       2.563    
   44.00       2.437    
   45.00       2.280    
   46.00       2.098    
   47.00       1.900    
   48.00       1.694    
   49.00       1.488    
   50.00       1.289    
   51.00       1.104    
   52.00      0.9379    
   53.00      0.7942    
   54.00      0.6750    
   55.00      0.5813    
   56.00      0.5126    
   57.00      0.4675    
   58.00      0.4438    
   59.00      0.4388    
   60.00      0.4491    
   61.00      0.4713    
   62.00      0.5021    
   63.00      0.5379    
   64.00      0.5758    
   65.00      0.6128    
   66.00      0.6466    
   67.00      0.6751    
   68.00      0.6969    
   69.00      0.7106    
   70.00      0.7158    
   71.00      0.7120    
   72.00      0.6995    
   73.00      0.6785    
   74.00      0.6498    
   75.00      0.6144    
   76.00      0.5734    
   77.00      0.5280    
   78.00      0.4796    
   79.00      0.4295    
   80.00      0.3789    
 END
