#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 9226.69 keV Jpi=3- l=3 n=2 j=7/2"                
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       11.97    
   1.000       11.98    
   2.000       12.03    
   3.000       12.10    
   4.000       12.19    
   5.000       12.30    
   6.000       12.42    
   7.000       12.54    
   8.000       12.65    
   9.000       12.73    
   10.00       12.79    
   11.00       12.80    
   12.00       12.77    
   13.00       12.68    
   14.00       12.53    
   15.00       12.31    
   16.00       12.03    
   17.00       11.67    
   18.00       11.26    
   19.00       10.78    
   20.00       10.24    
   21.00       9.661    
   22.00       9.039    
   23.00       8.391    
   24.00       7.727    
   25.00       7.061    
   26.00       6.404    
   27.00       5.770    
   28.00       5.167    
   29.00       4.607    
   30.00       4.095    
   31.00       3.639    
   32.00       3.240    
   33.00       2.901    
   34.00       2.619    
   35.00       2.390    
   36.00       2.211    
   37.00       2.074    
   38.00       1.971    
   39.00       1.896    
   40.00       1.841    
   41.00       1.799    
   42.00       1.763    
   43.00       1.728    
   44.00       1.689    
   45.00       1.643    
   46.00       1.588    
   47.00       1.522    
   48.00       1.446    
   49.00       1.360    
   50.00       1.267    
   51.00       1.168    
   52.00       1.066    
   53.00      0.9640    
   54.00      0.8643    
   55.00      0.7692    
   56.00      0.6806    
   57.00      0.5999    
   58.00      0.5282    
   59.00      0.4661    
   60.00      0.4136    
   61.00      0.3705    
   62.00      0.3363    
   63.00      0.3101    
   64.00      0.2907    
   65.00      0.2770    
   66.00      0.2678    
   67.00      0.2617    
   68.00      0.2576    
   69.00      0.2545    
   70.00      0.2516    
   71.00      0.2483    
   72.00      0.2440    
   73.00      0.2386    
   74.00      0.2319    
   75.00      0.2240    
   76.00      0.2151    
   77.00      0.2053    
   78.00      0.1949    
   79.00      0.1843    
   80.00      0.1738    
 END
