#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 9605 keV Jpi=1- l=1 n=2 j=1/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       8.779    
   1.000       8.748    
   2.000       8.654    
   3.000       8.497    
   4.000       8.275    
   5.000       7.988    
   6.000       7.637    
   7.000       7.225    
   8.000       6.759    
   9.000       6.249    
   10.00       5.708    
   11.00       5.151    
   12.00       4.596    
   13.00       4.060    
   14.00       3.560    
   15.00       3.110    
   16.00       2.723    
   17.00       2.406    
   18.00       2.162    
   19.00       1.990    
   20.00       1.885    
   21.00       1.836    
   22.00       1.834    
   23.00       1.863    
   24.00       1.910    
   25.00       1.964    
   26.00       2.010    
   27.00       2.042    
   28.00       2.051    
   29.00       2.033    
   30.00       1.987    
   31.00       1.914    
   32.00       1.817    
   33.00       1.700    
   34.00       1.567    
   35.00       1.425    
   36.00       1.279    
   37.00       1.133    
   38.00      0.9926    
   39.00      0.8609    
   40.00      0.7404    
   41.00      0.6328    
   42.00      0.5388    
   43.00      0.4585    
   44.00      0.3912    
   45.00      0.3360    
   46.00      0.2916    
   47.00      0.2565    
   48.00      0.2295    
   49.00      0.2091    
   50.00      0.1942    
   51.00      0.1838    
   52.00      0.1770    
   53.00      0.1732    
   54.00      0.1718    
   55.00      0.1726    
   56.00      0.1753    
   57.00      0.1794    
   58.00      0.1849    
   59.00      0.1915    
   60.00      0.1988    
   61.00      0.2066    
   62.00      0.2146    
   63.00      0.2223    
   64.00      0.2293    
   65.00      0.2353    
   66.00      0.2400    
   67.00      0.2429    
   68.00      0.2439    
   69.00      0.2428    
   70.00      0.2394    
   71.00      0.2337    
   72.00      0.2258    
   73.00      0.2159    
   74.00      0.2040    
   75.00      0.1906    
   76.00      0.1760    
   77.00      0.1605    
   78.00      0.1445    
   79.00      0.1284    
   80.00      0.1126    
 END
