#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 9227.43 keV Jpi=1+ l=2 n=3 j=3/2"                
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       14.40    
   1.000       14.41    
   2.000       14.43    
   3.000       14.46    
   4.000       14.49    
   5.000       14.51    
   6.000       14.52    
   7.000       14.50    
   8.000       14.43    
   9.000       14.30    
   10.00       14.10    
   11.00       13.82    
   12.00       13.45    
   13.00       12.99    
   14.00       12.44    
   15.00       11.80    
   16.00       11.10    
   17.00       10.34    
   18.00       9.548    
   19.00       8.739    
   20.00       7.937    
   21.00       7.160    
   22.00       6.428    
   23.00       5.753    
   24.00       5.147    
   25.00       4.617    
   26.00       4.162    
   27.00       3.783    
   28.00       3.471    
   29.00       3.219    
   30.00       3.017    
   31.00       2.851    
   32.00       2.712    
   33.00       2.589    
   34.00       2.471    
   35.00       2.353    
   36.00       2.229    
   37.00       2.095    
   38.00       1.952    
   39.00       1.800    
   40.00       1.641    
   41.00       1.479    
   42.00       1.318    
   43.00       1.162    
   44.00       1.016    
   45.00      0.8821    
   46.00      0.7642    
   47.00      0.6640    
   48.00      0.5825    
   49.00      0.5196    
   50.00      0.4745    
   51.00      0.4455    
   52.00      0.4302    
   53.00      0.4262    
   54.00      0.4305    
   55.00      0.4402    
   56.00      0.4527    
   57.00      0.4654    
   58.00      0.4762    
   59.00      0.4834    
   60.00      0.4860    
   61.00      0.4830    
   62.00      0.4744    
   63.00      0.4602    
   64.00      0.4411    
   65.00      0.4177    
   66.00      0.3909    
   67.00      0.3619    
   68.00      0.3317    
   69.00      0.3012    
   70.00      0.2714    
   71.00      0.2430    
   72.00      0.2167    
   73.00      0.1930    
   74.00      0.1720    
   75.00      0.1540    
   76.00      0.1389    
   77.00      0.1266    
   78.00      0.1167    
   79.00      0.1090    
   80.00      0.1030    
 END
