#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 6582 keV Jpi=3- l=3 n=2 j=5/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       5.890    
   1.000       5.919    
   2.000       6.008    
   3.000       6.155    
   4.000       6.356    
   5.000       6.608    
   6.000       6.908    
   7.000       7.251    
   8.000       7.630    
   9.000       8.038    
   10.00       8.467    
   11.00       8.906    
   12.00       9.340    
   13.00       9.753    
   14.00       10.13    
   15.00       10.44    
   16.00       10.67    
   17.00       10.81    
   18.00       10.83    
   19.00       10.73    
   20.00       10.50    
   21.00       10.14    
   22.00       9.661    
   23.00       9.072    
   24.00       8.393    
   25.00       7.646    
   26.00       6.856    
   27.00       6.051    
   28.00       5.255    
   29.00       4.494    
   30.00       3.790    
   31.00       3.161    
   32.00       2.618    
   33.00       2.170    
   34.00       1.818    
   35.00       1.557    
   36.00       1.380    
   37.00       1.276    
   38.00       1.230    
   39.00       1.228    
   40.00       1.256    
   41.00       1.301    
   42.00       1.349    
   43.00       1.391    
   44.00       1.420    
   45.00       1.430    
   46.00       1.419    
   47.00       1.385    
   48.00       1.331    
   49.00       1.258    
   50.00       1.171    
   51.00       1.074    
   52.00      0.9714    
   53.00      0.8686    
   54.00      0.7694    
   55.00      0.6770    
   56.00      0.5941    
   57.00      0.5223    
   58.00      0.4621    
   59.00      0.4136    
   60.00      0.3759    
   61.00      0.3479    
   62.00      0.3279    
   63.00      0.3143    
   64.00      0.3052    
   65.00      0.2989    
   66.00      0.2941    
   67.00      0.2894    
   68.00      0.2839    
   69.00      0.2770    
   70.00      0.2684    
   71.00      0.2580    
   72.00      0.2460    
   73.00      0.2327    
   74.00      0.2186    
   75.00      0.2042    
   76.00      0.1902    
   77.00      0.1769    
   78.00      0.1648    
   79.00      0.1543    
   80.00      0.1455    
 END
