#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 8851 keV Jpi=7- l=5 n=1 j=11/2"                  
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000      0.7416    
   1.000      0.7415    
   2.000      0.7411    
   3.000      0.7406    
   4.000      0.7404    
   5.000      0.7408    
   6.000      0.7422    
   7.000      0.7451    
   8.000      0.7499    
   9.000      0.7570    
   10.00      0.7666    
   11.00      0.7792    
   12.00      0.7947    
   13.00      0.8133    
   14.00      0.8348    
   15.00      0.8592    
   16.00      0.8863    
   17.00      0.9156    
   18.00      0.9469    
   19.00      0.9795    
   20.00       1.013    
   21.00       1.047    
   22.00       1.080    
   23.00       1.112    
   24.00       1.141    
   25.00       1.168    
   26.00       1.191    
   27.00       1.210    
   28.00       1.223    
   29.00       1.231    
   30.00       1.232    
   31.00       1.227    
   32.00       1.214    
   33.00       1.195    
   34.00       1.168    
   35.00       1.135    
   36.00       1.095    
   37.00       1.050    
   38.00      0.9990    
   39.00      0.9440    
   40.00      0.8857    
   41.00      0.8253    
   42.00      0.7637    
   43.00      0.7023    
   44.00      0.6420    
   45.00      0.5839    
   46.00      0.5290    
   47.00      0.4778    
   48.00      0.4310    
   49.00      0.3890    
   50.00      0.3519    
   51.00      0.3199    
   52.00      0.2928    
   53.00      0.2703    
   54.00      0.2521    
   55.00      0.2378    
   56.00      0.2269    
   57.00      0.2189    
   58.00      0.2132    
   59.00      0.2092    
   60.00      0.2065    
   61.00      0.2045    
   62.00      0.2029    
   63.00      0.2013    
   64.00      0.1994    
   65.00      0.1970    
   66.00      0.1940    
   67.00      0.1903    
   68.00      0.1858    
   69.00      0.1806    
   70.00      0.1749    
   71.00      0.1686    
   72.00      0.1620    
   73.00      0.1551    
   74.00      0.1480    
   75.00      0.1410    
   76.00      0.1342    
   77.00      0.1275    
   78.00      0.1211    
   79.00      0.1151    
   80.00      0.1095    
 END
