#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 9227.43 keV Jpi=1+ l=0 n=3 j=1/2"                
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       23.71    
   1.000       23.43    
   2.000       22.60    
   3.000       21.28    
   4.000       19.55    
   5.000       17.51    
   6.000       15.28    
   7.000       12.98    
   8.000       10.72    
   9.000       8.600    
   10.00       6.705    
   11.00       5.088    
   12.00       3.776    
   13.00       2.772    
   14.00       2.059    
   15.00       1.600    
   16.00       1.348    
   17.00       1.251    
   18.00       1.258    
   19.00       1.322    
   20.00       1.405    
   21.00       1.479    
   22.00       1.526    
   23.00       1.540    
   24.00       1.520    
   25.00       1.473    
   26.00       1.410    
   27.00       1.341    
   28.00       1.278    
   29.00       1.230    
   30.00       1.203    
   31.00       1.198    
   32.00       1.217    
   33.00       1.255    
   34.00       1.307    
   35.00       1.366    
   36.00       1.424    
   37.00       1.475    
   38.00       1.513    
   39.00       1.532    
   40.00       1.530    
   41.00       1.504    
   42.00       1.455    
   43.00       1.385    
   44.00       1.296    
   45.00       1.192    
   46.00       1.077    
   47.00      0.9556    
   48.00      0.8326    
   49.00      0.7119    
   50.00      0.5972    
   51.00      0.4914    
   52.00      0.3969    
   53.00      0.3153    
   54.00      0.2475    
   55.00      0.1936    
   56.00      0.1534    
   57.00      0.1260    
   58.00      0.1102    
   59.00      0.1046    
   60.00      0.1076    
   61.00      0.1173    
   62.00      0.1321    
   63.00      0.1503    
   64.00      0.1704    
   65.00      0.1910    
   66.00      0.2108    
   67.00      0.2288    
   68.00      0.2442    
   69.00      0.2565    
   70.00      0.2651    
   71.00      0.2700    
   72.00      0.2710    
   73.00      0.2682    
   74.00      0.2619    
   75.00      0.2524    
   76.00      0.2402    
   77.00      0.2256    
   78.00      0.2093    
   79.00      0.1917    
   80.00      0.1733    
 END
