#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 8188 keV Jpi=4+ l=4 n=1 j=7/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       2.037    
   1.000       2.035    
   2.000       2.031    
   3.000       2.025    
   4.000       2.019    
   5.000       2.011    
   6.000       2.005    
   7.000       2.001    
   8.000       1.999    
   9.000       2.000    
   10.00       2.005    
   11.00       2.014    
   12.00       2.027    
   13.00       2.046    
   14.00       2.069    
   15.00       2.096    
   16.00       2.128    
   17.00       2.160    
   18.00       2.193    
   19.00       2.223    
   20.00       2.248    
   21.00       2.265    
   22.00       2.273    
   23.00       2.269    
   24.00       2.252    
   25.00       2.220    
   26.00       2.174    
   27.00       2.113    
   28.00       2.036    
   29.00       1.944    
   30.00       1.840    
   31.00       1.725    
   32.00       1.601    
   33.00       1.471    
   34.00       1.339    
   35.00       1.208    
   36.00       1.080    
   37.00      0.9582    
   38.00      0.8441    
   39.00      0.7395    
   40.00      0.6455    
   41.00      0.5630    
   42.00      0.4924    
   43.00      0.4334    
   44.00      0.3858    
   45.00      0.3485    
   46.00      0.3205    
   47.00      0.3003    
   48.00      0.2864    
   49.00      0.2772    
   50.00      0.2712    
   51.00      0.2672    
   52.00      0.2639    
   53.00      0.2606    
   54.00      0.2566    
   55.00      0.2514    
   56.00      0.2447    
   57.00      0.2363    
   58.00      0.2264    
   59.00      0.2150    
   60.00      0.2025    
   61.00      0.1891    
   62.00      0.1752    
   63.00      0.1612    
   64.00      0.1475    
   65.00      0.1343    
   66.00      0.1221    
   67.00      0.1108    
   68.00      0.1008    
   69.00      0.9187E-01
   70.00      0.8419E-01
   71.00      0.7766E-01
   72.00      0.7222E-01
   73.00      0.6774E-01
   74.00      0.6410E-01
   75.00      0.6116E-01
   76.00      0.5875E-01
   77.00      0.5673E-01
   78.00      0.5499E-01
   79.00      0.5341E-01
   80.00      0.5194E-01
 END
