#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 7113 keV Jpi=1- l=3 n=2 j=5/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       3.193    
   1.000       3.207    
   2.000       3.249    
   3.000       3.318    
   4.000       3.412    
   5.000       3.529    
   6.000       3.666    
   7.000       3.820    
   8.000       3.988    
   9.000       4.164    
   10.00       4.345    
   11.00       4.524    
   12.00       4.694    
   13.00       4.849    
   14.00       4.980    
   15.00       5.078    
   16.00       5.136    
   17.00       5.149    
   18.00       5.109    
   19.00       5.017    
   20.00       4.869    
   21.00       4.670    
   22.00       4.423    
   23.00       4.134    
   24.00       3.812    
   25.00       3.466    
   26.00       3.107    
   27.00       2.746    
   28.00       2.392    
   29.00       2.056    
   30.00       1.747    
   31.00       1.471    
   32.00       1.234    
   33.00       1.037    
   34.00      0.8813    
   35.00      0.7647    
   36.00      0.6837    
   37.00      0.6333    
   38.00      0.6078    
   39.00      0.6011    
   40.00      0.6071    
   41.00      0.6204    
   42.00      0.6359    
   43.00      0.6495    
   44.00      0.6581    
   45.00      0.6594    
   46.00      0.6520    
   47.00      0.6356    
   48.00      0.6105    
   49.00      0.5777    
   50.00      0.5387    
   51.00      0.4952    
   52.00      0.4493    
   53.00      0.4029    
   54.00      0.3578    
   55.00      0.3153    
   56.00      0.2768    
   57.00      0.2429    
   58.00      0.2141    
   59.00      0.1903    
   60.00      0.1713    
   61.00      0.1567    
   62.00      0.1458    
   63.00      0.1380    
   64.00      0.1324    
   65.00      0.1285    
   66.00      0.1256    
   67.00      0.1230    
   68.00      0.1205    
   69.00      0.1175    
   70.00      0.1141    
   71.00      0.1100    
   72.00      0.1052    
   73.00      0.1000    
   74.00      0.9440E-01
   75.00      0.8863E-01
   76.00      0.8291E-01
   77.00      0.7743E-01
   78.00      0.7239E-01
   79.00      0.6793E-01
   80.00      0.6415E-01
 END
