#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 7623 keV Jpi=3+ l=4 n=2 j=9/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       3.238    
   1.000       3.238    
   2.000       3.241    
   3.000       3.246    
   4.000       3.254    
   5.000       3.266    
   6.000       3.284    
   7.000       3.307    
   8.000       3.338    
   9.000       3.377    
   10.00       3.425    
   11.00       3.484    
   12.00       3.555    
   13.00       3.636    
   14.00       3.729    
   15.00       3.831    
   16.00       3.942    
   17.00       4.057    
   18.00       4.174    
   19.00       4.286    
   20.00       4.389    
   21.00       4.477    
   22.00       4.543    
   23.00       4.584    
   24.00       4.593    
   25.00       4.567    
   26.00       4.504    
   27.00       4.403    
   28.00       4.262    
   29.00       4.086    
   30.00       3.875    
   31.00       3.636    
   32.00       3.374    
   33.00       3.095    
   34.00       2.806    
   35.00       2.516    
   36.00       2.230    
   37.00       1.956    
   38.00       1.699    
   39.00       1.463    
   40.00       1.252    
   41.00       1.068    
   42.00      0.9123    
   43.00      0.7843    
   44.00      0.6829    
   45.00      0.6060    
   46.00      0.5510    
   47.00      0.5145    
   48.00      0.4932    
   49.00      0.4833    
   50.00      0.4815    
   51.00      0.4843    
   52.00      0.4891    
   53.00      0.4935    
   54.00      0.4956    
   55.00      0.4942    
   56.00      0.4885    
   57.00      0.4784    
   58.00      0.4637    
   59.00      0.4451    
   60.00      0.4232    
   61.00      0.3988    
   62.00      0.3727    
   63.00      0.3459    
   64.00      0.3193    
   65.00      0.2935    
   66.00      0.2692    
   67.00      0.2470    
   68.00      0.2270    
   69.00      0.2096    
   70.00      0.1946    
   71.00      0.1820    
   72.00      0.1717    
   73.00      0.1632    
   74.00      0.1564    
   75.00      0.1507    
   76.00      0.1459    
   77.00      0.1416    
   78.00      0.1376    
   79.00      0.1335    
   80.00      0.1293    
 END
