#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 8851 keV Jpi=8- l=7 n=1 j=15/2"                  
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000      0.2670    
   1.000      0.2678    
   2.000      0.2701    
   3.000      0.2731    
   4.000      0.2762    
   5.000      0.2786    
   6.000      0.2802    
   7.000      0.2807    
   8.000      0.2802    
   9.000      0.2784    
   10.00      0.2749    
   11.00      0.2691    
   12.00      0.2609    
   13.00      0.2506    
   14.00      0.2394    
   15.00      0.2289    
   16.00      0.2206    
   17.00      0.2155    
   18.00      0.2132    
   19.00      0.2125    
   20.00      0.2114    
   21.00      0.2082    
   22.00      0.2019    
   23.00      0.1930    
   24.00      0.1829    
   25.00      0.1740    
   26.00      0.1686    
   27.00      0.1680    
   28.00      0.1724    
   29.00      0.1808    
   30.00      0.1916    
   31.00      0.2035    
   32.00      0.2154    
   33.00      0.2272    
   34.00      0.2391    
   35.00      0.2512    
   36.00      0.2630    
   37.00      0.2730    
   38.00      0.2794    
   39.00      0.2802    
   40.00      0.2747    
   41.00      0.2638    
   42.00      0.2503    
   43.00      0.2386    
   44.00      0.2334    
   45.00      0.2380    
   46.00      0.2536    
   47.00      0.2781    
   48.00      0.3063    
   49.00      0.3314    
   50.00      0.3466    
   51.00      0.3472    
   52.00      0.3316    
   53.00      0.3024    
   54.00      0.2655    
   55.00      0.2288    
   56.00      0.1999    
   57.00      0.1841    
   58.00      0.1832    
   59.00      0.1951    
   60.00      0.2140    
   61.00      0.2329    
   62.00      0.2448    
   63.00      0.2447    
   64.00      0.2311    
   65.00      0.2062    
   66.00      0.1748    
   67.00      0.1434    
   68.00      0.1181    
   69.00      0.1033    
   70.00      0.1004    
   71.00      0.1080    
   72.00      0.1219    
   73.00      0.1371    
   74.00      0.1482    
   75.00      0.1518    
   76.00      0.1462    
   77.00      0.1326    
   78.00      0.1141    
   79.00      0.9483E-01
   80.00      0.7916E-01
 END
