#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 7114 keV Jpi=4- l=3 n=2 j=5/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       9.580    
   1.000       9.623    
   2.000       9.749    
   3.000       9.956    
   4.000       10.24    
   5.000       10.59    
   6.000       11.00    
   7.000       11.46    
   8.000       11.97    
   9.000       12.50    
   10.00       13.04    
   11.00       13.57    
   12.00       14.09    
   13.00       14.55    
   14.00       14.94    
   15.00       15.24    
   16.00       15.41    
   17.00       15.45    
   18.00       15.33    
   19.00       15.05    
   20.00       14.61    
   21.00       14.01    
   22.00       13.27    
   23.00       12.40    
   24.00       11.44    
   25.00       10.40    
   26.00       9.323    
   27.00       8.238    
   28.00       7.177    
   29.00       6.170    
   30.00       5.242    
   31.00       4.415    
   32.00       3.702    
   33.00       3.112    
   34.00       2.644    
   35.00       2.294    
   36.00       2.051    
   37.00       1.900    
   38.00       1.824    
   39.00       1.803    
   40.00       1.822    
   41.00       1.861    
   42.00       1.908    
   43.00       1.949    
   44.00       1.974    
   45.00       1.978    
   46.00       1.956    
   47.00       1.907    
   48.00       1.832    
   49.00       1.733    
   50.00       1.616    
   51.00       1.486    
   52.00       1.348    
   53.00       1.209    
   54.00       1.073    
   55.00      0.9461    
   56.00      0.8305    
   57.00      0.7289    
   58.00      0.6423    
   59.00      0.5709    
   60.00      0.5139    
   61.00      0.4700    
   62.00      0.4374    
   63.00      0.4139    
   64.00      0.3973    
   65.00      0.3856    
   66.00      0.3767    
   67.00      0.3691    
   68.00      0.3614    
   69.00      0.3526    
   70.00      0.3422    
   71.00      0.3299    
   72.00      0.3157    
   73.00      0.3000    
   74.00      0.2832    
   75.00      0.2659    
   76.00      0.2487    
   77.00      0.2323    
   78.00      0.2172    
   79.00      0.2038    
   80.00      0.1925    
 END
