#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 9226.69 keV Jpi=2- l=1 n=2 j=1/2"                
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       18.05    
   1.000       17.99    
   2.000       17.82    
   3.000       17.53    
   4.000       17.12    
   5.000       16.58    
   6.000       15.90    
   7.000       15.10    
   8.000       14.17    
   9.000       13.13    
   10.00       12.01    
   11.00       10.85    
   12.00       9.673    
   13.00       8.524    
   14.00       7.442    
   15.00       6.459    
   16.00       5.605    
   17.00       4.898    
   18.00       4.346    
   19.00       3.948    
   20.00       3.693    
   21.00       3.563    
   22.00       3.533    
   23.00       3.576    
   24.00       3.661    
   25.00       3.761    
   26.00       3.852    
   27.00       3.912    
   28.00       3.929    
   29.00       3.892    
   30.00       3.798    
   31.00       3.650    
   32.00       3.454    
   33.00       3.219    
   34.00       2.954    
   35.00       2.673    
   36.00       2.385    
   37.00       2.102    
   38.00       1.831    
   39.00       1.580    
   40.00       1.353    
   41.00       1.153    
   42.00      0.9804    
   43.00      0.8350    
   44.00      0.7150    
   45.00      0.6180    
   46.00      0.5411    
   47.00      0.4810    
   48.00      0.4349    
   49.00      0.4000    
   50.00      0.3741    
   51.00      0.3552    
   52.00      0.3420    
   53.00      0.3335    
   54.00      0.3288    
   55.00      0.3276    
   56.00      0.3296    
   57.00      0.3343    
   58.00      0.3417    
   59.00      0.3514    
   60.00      0.3629    
   61.00      0.3758    
   62.00      0.3893    
   63.00      0.4028    
   64.00      0.4155    
   65.00      0.4266    
   66.00      0.4353    
   67.00      0.4411    
   68.00      0.4433    
   69.00      0.4415    
   70.00      0.4355    
   71.00      0.4252    
   72.00      0.4107    
   73.00      0.3923    
   74.00      0.3703    
   75.00      0.3454    
   76.00      0.3182    
   77.00      0.2894    
   78.00      0.2597    
   79.00      0.2300    
   80.00      0.2008    
 END
