#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 9432 keV Jpi=3- l=3 n=1 j=7/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       4.456    
   1.000       4.460    
   2.000       4.471    
   3.000       4.488    
   4.000       4.511    
   5.000       4.539    
   6.000       4.569    
   7.000       4.600    
   8.000       4.628    
   9.000       4.651    
   10.00       4.666    
   11.00       4.670    
   12.00       4.661    
   13.00       4.636    
   14.00       4.594    
   15.00       4.533    
   16.00       4.450    
   17.00       4.344    
   18.00       4.216    
   19.00       4.064    
   20.00       3.890    
   21.00       3.697    
   22.00       3.486    
   23.00       3.263    
   24.00       3.030    
   25.00       2.793    
   26.00       2.555    
   27.00       2.321    
   28.00       2.095    
   29.00       1.881    
   30.00       1.682    
   31.00       1.501    
   32.00       1.340    
   33.00       1.200    
   34.00       1.080    
   35.00      0.9807    
   36.00      0.9000    
   37.00      0.8361    
   38.00      0.7868    
   39.00      0.7495    
   40.00      0.7215    
   41.00      0.7003    
   42.00      0.6834    
   43.00      0.6687    
   44.00      0.6544    
   45.00      0.6388    
   46.00      0.6209    
   47.00      0.6001    
   48.00      0.5759    
   49.00      0.5484    
   50.00      0.5180    
   51.00      0.4851    
   52.00      0.4507    
   53.00      0.4153    
   54.00      0.3799    
   55.00      0.3452    
   56.00      0.3119    
   57.00      0.2805    
   58.00      0.2515    
   59.00      0.2252    
   60.00      0.2017    
   61.00      0.1812    
   62.00      0.1636    
   63.00      0.1486    
   64.00      0.1361    
   65.00      0.1257    
   66.00      0.1172    
   67.00      0.1101    
   68.00      0.1042    
   69.00      0.9924E-01
   70.00      0.9486E-01
   71.00      0.9090E-01
   72.00      0.8721E-01
   73.00      0.8369E-01
   74.00      0.8028E-01
   75.00      0.7696E-01
   76.00      0.7373E-01
   77.00      0.7063E-01
   78.00      0.6768E-01
   79.00      0.6494E-01
   80.00      0.6245E-01
 END
