#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 7623 keV Jpi=3+ l=4 n=1 j=9/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       1.363    
   1.000       1.361    
   2.000       1.355    
   3.000       1.346    
   4.000       1.333    
   5.000       1.320    
   6.000       1.306    
   7.000       1.293    
   8.000       1.282    
   9.000       1.275    
   10.00       1.273    
   11.00       1.276    
   12.00       1.286    
   13.00       1.303    
   14.00       1.327    
   15.00       1.357    
   16.00       1.392    
   17.00       1.431    
   18.00       1.473    
   19.00       1.514    
   20.00       1.553    
   21.00       1.587    
   22.00       1.614    
   23.00       1.632    
   24.00       1.639    
   25.00       1.633    
   26.00       1.614    
   27.00       1.580    
   28.00       1.533    
   29.00       1.472    
   30.00       1.399    
   31.00       1.315    
   32.00       1.222    
   33.00       1.124    
   34.00       1.022    
   35.00      0.9184    
   36.00      0.8169    
   37.00      0.7192    
   38.00      0.6274    
   39.00      0.5430    
   40.00      0.4672    
   41.00      0.4010    
   42.00      0.3445    
   43.00      0.2979    
   44.00      0.2607    
   45.00      0.2322    
   46.00      0.2114    
   47.00      0.1972    
   48.00      0.1884    
   49.00      0.1837    
   50.00      0.1818    
   51.00      0.1817    
   52.00      0.1824    
   53.00      0.1831    
   54.00      0.1831    
   55.00      0.1820    
   56.00      0.1795    
   57.00      0.1755    
   58.00      0.1701    
   59.00      0.1634    
   60.00      0.1555    
   61.00      0.1468    
   62.00      0.1374    
   63.00      0.1278    
   64.00      0.1182    
   65.00      0.1089    
   66.00      0.1001    
   67.00      0.9186E-01
   68.00      0.8439E-01
   69.00      0.7772E-01
   70.00      0.7185E-01
   71.00      0.6675E-01
   72.00      0.6237E-01
   73.00      0.5860E-01
   74.00      0.5535E-01
   75.00      0.5252E-01
   76.00      0.5002E-01
   77.00      0.4776E-01
   78.00      0.4566E-01
   79.00      0.4367E-01
   80.00      0.4177E-01
 END
