#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 6750 keV Jpi=2- l=1 n=3 j=3/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       40.62    
   1.000       40.92    
   2.000       41.79    
   3.000       43.09    
   4.000       44.59    
   5.000       46.03    
   6.000       47.15    
   7.000       47.69    
   8.000       47.43    
   9.000       46.27    
   10.00       44.17    
   11.00       41.18    
   12.00       37.46    
   13.00       33.22    
   14.00       28.72    
   15.00       24.22    
   16.00       19.97    
   17.00       16.19    
   18.00       13.02    
   19.00       10.54    
   20.00       8.773    
   21.00       7.661    
   22.00       7.113    
   23.00       7.004    
   24.00       7.191    
   25.00       7.534    
   26.00       7.903    
   27.00       8.196    
   28.00       8.336    
   29.00       8.278    
   30.00       8.010    
   31.00       7.543    
   32.00       6.910    
   33.00       6.157    
   34.00       5.338    
   35.00       4.506    
   36.00       3.711    
   37.00       2.993    
   38.00       2.381    
   39.00       1.893    
   40.00       1.536    
   41.00       1.306    
   42.00       1.190    
   43.00       1.170    
   44.00       1.223    
   45.00       1.327    
   46.00       1.457    
   47.00       1.593    
   48.00       1.717    
   49.00       1.817    
   50.00       1.882    
   51.00       1.909    
   52.00       1.896    
   53.00       1.846    
   54.00       1.764    
   55.00       1.655    
   56.00       1.527    
   57.00       1.388    
   58.00       1.244    
   59.00       1.102    
   60.00      0.9673    
   61.00      0.8435    
   62.00      0.7336    
   63.00      0.6388    
   64.00      0.5596    
   65.00      0.4954    
   66.00      0.4450    
   67.00      0.4066    
   68.00      0.3782    
   69.00      0.3579    
   70.00      0.3436    
   71.00      0.3334    
   72.00      0.3257    
   73.00      0.3193    
   74.00      0.3132    
   75.00      0.3066    
   76.00      0.2993    
   77.00      0.2910    
   78.00      0.2819    
   79.00      0.2721    
   80.00      0.2618    
 END
