#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 8188 keV Jpi=3+ l=4 n=1 j=7/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       1.581    
   1.000       1.580    
   2.000       1.577    
   3.000       1.574    
   4.000       1.569    
   5.000       1.564    
   6.000       1.560    
   7.000       1.557    
   8.000       1.555    
   9.000       1.555    
   10.00       1.559    
   11.00       1.566    
   12.00       1.576    
   13.00       1.591    
   14.00       1.609    
   15.00       1.630    
   16.00       1.654    
   17.00       1.679    
   18.00       1.704    
   19.00       1.727    
   20.00       1.746    
   21.00       1.760    
   22.00       1.767    
   23.00       1.765    
   24.00       1.753    
   25.00       1.729    
   26.00       1.693    
   27.00       1.644    
   28.00       1.584    
   29.00       1.512    
   30.00       1.430    
   31.00       1.340    
   32.00       1.244    
   33.00       1.144    
   34.00       1.042    
   35.00      0.9398    
   36.00      0.8405    
   37.00      0.7455    
   38.00      0.6566    
   39.00      0.5751    
   40.00      0.5020    
   41.00      0.4379    
   42.00      0.3830    
   43.00      0.3373    
   44.00      0.3003    
   45.00      0.2713    
   46.00      0.2494    
   47.00      0.2335    
   48.00      0.2225    
   49.00      0.2152    
   50.00      0.2106    
   51.00      0.2075    
   52.00      0.2052    
   53.00      0.2028    
   54.00      0.1998    
   55.00      0.1958    
   56.00      0.1905    
   57.00      0.1840    
   58.00      0.1761    
   59.00      0.1672    
   60.00      0.1574    
   61.00      0.1469    
   62.00      0.1361    
   63.00      0.1253    
   64.00      0.1147    
   65.00      0.1045    
   66.00      0.9494E-01
   67.00      0.8620E-01
   68.00      0.7835E-01
   69.00      0.7144E-01
   70.00      0.6548E-01
   71.00      0.6043E-01
   72.00      0.5622E-01
   73.00      0.5275E-01
   74.00      0.4992E-01
   75.00      0.4761E-01
   76.00      0.4570E-01
   77.00      0.4410E-01
   78.00      0.4272E-01
   79.00      0.4148E-01
   80.00      0.4034E-01
 END
