#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 8484 keV Jpi=3- l=5 n=1 j=9/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000      0.4515    
   1.000      0.4506    
   2.000      0.4478    
   3.000      0.4432    
   4.000      0.4372    
   5.000      0.4300    
   6.000      0.4219    
   7.000      0.4135    
   8.000      0.4051    
   9.000      0.3972    
   10.00      0.3904    
   11.00      0.3850    
   12.00      0.3814    
   13.00      0.3802    
   14.00      0.3816    
   15.00      0.3857    
   16.00      0.3928    
   17.00      0.4027    
   18.00      0.4154    
   19.00      0.4306    
   20.00      0.4479    
   21.00      0.4667    
   22.00      0.4867    
   23.00      0.5070    
   24.00      0.5272    
   25.00      0.5465    
   26.00      0.5643    
   27.00      0.5800    
   28.00      0.5929    
   29.00      0.6025    
   30.00      0.6084    
   31.00      0.6102    
   32.00      0.6076    
   33.00      0.6005    
   34.00      0.5889    
   35.00      0.5730    
   36.00      0.5530    
   37.00      0.5294    
   38.00      0.5028    
   39.00      0.4736    
   40.00      0.4426    
   41.00      0.4105    
   42.00      0.3780    
   43.00      0.3457    
   44.00      0.3142    
   45.00      0.2840    
   46.00      0.2557    
   47.00      0.2296    
   48.00      0.2059    
   49.00      0.1848    
   50.00      0.1665    
   51.00      0.1509    
   52.00      0.1379    
   53.00      0.1275    
   54.00      0.1193    
   55.00      0.1132    
   56.00      0.1088    
   57.00      0.1058    
   58.00      0.1039    
   59.00      0.1028    
   60.00      0.1022    
   61.00      0.1018    
   62.00      0.1014    
   63.00      0.1009    
   64.00      0.9998E-01
   65.00      0.9869E-01
   66.00      0.9694E-01
   67.00      0.9471E-01
   68.00      0.9203E-01
   69.00      0.8893E-01
   70.00      0.8548E-01
   71.00      0.8175E-01
   72.00      0.7783E-01
   73.00      0.7380E-01
   74.00      0.6975E-01
   75.00      0.6575E-01
   76.00      0.6188E-01
   77.00      0.5818E-01
   78.00      0.5469E-01
   79.00      0.5147E-01
   80.00      0.4851E-01
 END
