#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 9405 keV Jpi=0+ l=2 n=2 j=3/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       2.616    
   1.000       2.619    
   2.000       2.627    
   3.000       2.639    
   4.000       2.654    
   5.000       2.668    
   6.000       2.679    
   7.000       2.684    
   8.000       2.681    
   9.000       2.666    
   10.00       2.637    
   11.00       2.592    
   12.00       2.529    
   13.00       2.449    
   14.00       2.351    
   15.00       2.236    
   16.00       2.106    
   17.00       1.965    
   18.00       1.815    
   19.00       1.661    
   20.00       1.506    
   21.00       1.356    
   22.00       1.213    
   23.00       1.081    
   24.00      0.9625    
   25.00      0.8580    
   26.00      0.7685    
   27.00      0.6936    
   28.00      0.6325    
   29.00      0.5837    
   30.00      0.5453    
   31.00      0.5152    
   32.00      0.4914    
   33.00      0.4717    
   34.00      0.4542    
   35.00      0.4375    
   36.00      0.4202    
   37.00      0.4015    
   38.00      0.3810    
   39.00      0.3586    
   40.00      0.3344    
   41.00      0.3090    
   42.00      0.2828    
   43.00      0.2566    
   44.00      0.2311    
   45.00      0.2067    
   46.00      0.1842    
   47.00      0.1638    
   48.00      0.1459    
   49.00      0.1305    
   50.00      0.1176    
   51.00      0.1071    
   52.00      0.9879E-01
   53.00      0.9227E-01
   54.00      0.8722E-01
   55.00      0.8328E-01
   56.00      0.8009E-01
   57.00      0.7734E-01
   58.00      0.7473E-01
   59.00      0.7208E-01
   60.00      0.6921E-01
   61.00      0.6606E-01
   62.00      0.6261E-01
   63.00      0.5888E-01
   64.00      0.5497E-01
   65.00      0.5096E-01
   66.00      0.4700E-01
   67.00      0.4320E-01
   68.00      0.3968E-01
   69.00      0.3654E-01
   70.00      0.3387E-01
   71.00      0.3172E-01
   72.00      0.3011E-01
   73.00      0.2904E-01
   74.00      0.2849E-01
   75.00      0.2840E-01
   76.00      0.2869E-01
   77.00      0.2928E-01
   78.00      0.3006E-01
   79.00      0.3093E-01
   80.00      0.3180E-01
 END
