#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 9669 keV Jpi=3- l=3 n=2 j=5/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       10.03    
   1.000       10.05    
   2.000       10.11    
   3.000       10.21    
   4.000       10.34    
   5.000       10.49    
   6.000       10.65    
   7.000       10.81    
   8.000       10.97    
   9.000       11.11    
   10.00       11.23    
   11.00       11.32    
   12.00       11.36    
   13.00       11.35    
   14.00       11.27    
   15.00       11.13    
   16.00       10.91    
   17.00       10.63    
   18.00       10.27    
   19.00       9.856    
   20.00       9.379    
   21.00       8.850    
   22.00       8.279    
   23.00       7.675    
   24.00       7.051    
   25.00       6.420    
   26.00       5.796    
   27.00       5.191    
   28.00       4.616    
   29.00       4.083    
   30.00       3.597    
   31.00       3.164    
   32.00       2.786    
   33.00       2.465    
   34.00       2.200    
   35.00       1.987    
   36.00       1.824    
   37.00       1.704    
   38.00       1.621    
   39.00       1.568    
   40.00       1.536    
   41.00       1.518    
   42.00       1.507    
   43.00       1.498    
   44.00       1.487    
   45.00       1.469    
   46.00       1.442    
   47.00       1.405    
   48.00       1.357    
   49.00       1.299    
   50.00       1.232    
   51.00       1.156    
   52.00       1.074    
   53.00      0.9880    
   54.00      0.9009    
   55.00      0.8148    
   56.00      0.7317    
   57.00      0.6533    
   58.00      0.5810    
   59.00      0.5154    
   60.00      0.4572    
   61.00      0.4063    
   62.00      0.3628    
   63.00      0.3261    
   64.00      0.2956    
   65.00      0.2707    
   66.00      0.2504    
   67.00      0.2340    
   68.00      0.2205    
   69.00      0.2093    
   70.00      0.1997    
   71.00      0.1910    
   72.00      0.1830    
   73.00      0.1754    
   74.00      0.1678    
   75.00      0.1603    
   76.00      0.1528    
   77.00      0.1454    
   78.00      0.1384    
   79.00      0.1319    
   80.00      0.1260    
 END
