#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 9226.69 keV Jpi=2- l=1 n=3 j=3/2"                
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       29.05    
   1.000       28.98    
   2.000       28.78    
   3.000       28.43    
   4.000       27.91    
   5.000       27.21    
   6.000       26.30    
   7.000       25.19    
   8.000       23.86    
   9.000       22.34    
   10.00       20.66    
   11.00       18.87    
   12.00       17.00    
   13.00       15.14    
   14.00       13.33    
   15.00       11.63    
   16.00       10.10    
   17.00       8.766    
   18.00       7.657    
   19.00       6.777    
   20.00       6.118    
   21.00       5.657    
   22.00       5.364    
   23.00       5.198    
   24.00       5.119    
   25.00       5.086    
   26.00       5.063    
   27.00       5.020    
   28.00       4.934    
   29.00       4.793    
   30.00       4.591    
   31.00       4.332    
   32.00       4.023    
   33.00       3.678    
   34.00       3.311    
   35.00       2.940    
   36.00       2.579    
   37.00       2.243    
   38.00       1.943    
   39.00       1.685    
   40.00       1.476    
   41.00       1.315    
   42.00       1.200    
   43.00       1.128    
   44.00       1.092    
   45.00       1.085    
   46.00       1.098    
   47.00       1.124    
   48.00       1.156    
   49.00       1.188    
   50.00       1.213    
   51.00       1.229    
   52.00       1.233    
   53.00       1.223    
   54.00       1.199    
   55.00       1.161    
   56.00       1.112    
   57.00       1.053    
   58.00      0.9858    
   59.00      0.9135    
   60.00      0.8383    
   61.00      0.7624    
   62.00      0.6879    
   63.00      0.6164    
   64.00      0.5492    
   65.00      0.4874    
   66.00      0.4317    
   67.00      0.3824    
   68.00      0.3396    
   69.00      0.3032    
   70.00      0.2728    
   71.00      0.2481    
   72.00      0.2284    
   73.00      0.2131    
   74.00      0.2017    
   75.00      0.1935    
   76.00      0.1879    
   77.00      0.1844    
   78.00      0.1825    
   79.00      0.1816    
   80.00      0.1815    
 END
