#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 8851 keV Jpi=7- l=9 n=1 j=17/2"                  
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000      0.2482E+05
   1.000      0.2461E+05
   2.000      0.2399E+05
   3.000      0.2301E+05
   4.000      0.2171E+05
   5.000      0.2017E+05
   6.000      0.1846E+05
   7.000      0.1667E+05
   8.000      0.1486E+05
   9.000      0.1310E+05
   10.00      0.1144E+05
   11.00       9897.    
   12.00       8505.    
   13.00       7268.    
   14.00       6180.    
   15.00       5233.    
   16.00       4413.    
   17.00       3705.    
   18.00       3095.    
   19.00       2569.    
   20.00       2116.    
   21.00       1729.    
   22.00       1398.    
   23.00       1120.    
   24.00       890.8    
   25.00       706.0    
   26.00       563.0    
   27.00       459.0    
   28.00       391.4    
   29.00       357.4    
   30.00       354.1    
   31.00       378.6    
   32.00       427.8    
   33.00       498.9    
   34.00       588.7    
   35.00       694.4    
   36.00       812.9    
   37.00       941.4    
   38.00       1077.    
   39.00       1217.    
   40.00       1358.    
   41.00       1498.    
   42.00       1633.    
   43.00       1760.    
   44.00       1878.    
   45.00       1984.    
   46.00       2075.    
   47.00       2150.    
   48.00       2210.    
   49.00       2252.    
   50.00       2277.    
   51.00       2285.    
   52.00       2278.    
   53.00       2254.    
   54.00       2215.    
   55.00       2162.    
   56.00       2096.    
   57.00       2018.    
   58.00       1929.    
   59.00       1831.    
   60.00       1727.    
   61.00       1618.    
   62.00       1508.    
   63.00       1398.    
   64.00       1290.    
   65.00       1186.    
   66.00       1087.    
   67.00       995.1    
   68.00       909.7    
   69.00       831.6    
   70.00       761.2    
   71.00       698.9    
   72.00       644.9    
   73.00       599.8    
   74.00       563.6    
   75.00       536.6    
   76.00       518.6    
   77.00       509.1    
   78.00       507.5    
   79.00       512.9    
   80.00       524.2    
 END
