#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 7623 keV Jpi=4+ l=4 n=2 j=7/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       3.540    
   1.000       3.551    
   2.000       3.584    
   3.000       3.638    
   4.000       3.709    
   5.000       3.797    
   6.000       3.898    
   7.000       4.012    
   8.000       4.135    
   9.000       4.268    
   10.00       4.407    
   11.00       4.552    
   12.00       4.700    
   13.00       4.848    
   14.00       4.996    
   15.00       5.140    
   16.00       5.280    
   17.00       5.412    
   18.00       5.535    
   19.00       5.644    
   20.00       5.735    
   21.00       5.802    
   22.00       5.841    
   23.00       5.845    
   24.00       5.812    
   25.00       5.738    
   26.00       5.622    
   27.00       5.463    
   28.00       5.262    
   29.00       5.022    
   30.00       4.747    
   31.00       4.441    
   32.00       4.111    
   33.00       3.765    
   34.00       3.410    
   35.00       3.056    
   36.00       2.711    
   37.00       2.382    
   38.00       2.076    
   39.00       1.797    
   40.00       1.549    
   41.00       1.334    
   42.00       1.153    
   43.00       1.004    
   44.00      0.8871    
   45.00      0.7984    
   46.00      0.7347    
   47.00      0.6920    
   48.00      0.6661    
   49.00      0.6524    
   50.00      0.6467    
   51.00      0.6454    
   52.00      0.6451    
   53.00      0.6432    
   54.00      0.6379    
   55.00      0.6279    
   56.00      0.6127    
   57.00      0.5922    
   58.00      0.5669    
   59.00      0.5374    
   60.00      0.5047    
   61.00      0.4700    
   62.00      0.4345    
   63.00      0.3992    
   64.00      0.3652    
   65.00      0.3333    
   66.00      0.3042    
   67.00      0.2783    
   68.00      0.2559    
   69.00      0.2368    
   70.00      0.2211    
   71.00      0.2084    
   72.00      0.1982    
   73.00      0.1902    
   74.00      0.1839    
   75.00      0.1788    
   76.00      0.1745    
   77.00      0.1705    
   78.00      0.1664    
   79.00      0.1621    
   80.00      0.1573    
 END
