#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 8188 keV Jpi=4+ l=4 n=2 j=7/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       4.615    
   1.000       4.627    
   2.000       4.665    
   3.000       4.726    
   4.000       4.807    
   5.000       4.904    
   6.000       5.016    
   7.000       5.138    
   8.000       5.269    
   9.000       5.407    
   10.00       5.550    
   11.00       5.695    
   12.00       5.840    
   13.00       5.981    
   14.00       6.117    
   15.00       6.243    
   16.00       6.356    
   17.00       6.455    
   18.00       6.535    
   19.00       6.594    
   20.00       6.628    
   21.00       6.634    
   22.00       6.608    
   23.00       6.548    
   24.00       6.450    
   25.00       6.312    
   26.00       6.135    
   27.00       5.918    
   28.00       5.664    
   29.00       5.375    
   30.00       5.058    
   31.00       4.717    
   32.00       4.360    
   33.00       3.992    
   34.00       3.622    
   35.00       3.257    
   36.00       2.903    
   37.00       2.567    
   38.00       2.254    
   39.00       1.970    
   40.00       1.716    
   41.00       1.497    
   42.00       1.310    
   43.00       1.157    
   44.00       1.034    
   45.00      0.9381    
   46.00      0.8666    
   47.00      0.8150    
   48.00      0.7796    
   49.00      0.7564    
   50.00      0.7418    
   51.00      0.7323    
   52.00      0.7250    
   53.00      0.7172    
   54.00      0.7067    
   55.00      0.6921    
   56.00      0.6724    
   57.00      0.6477    
   58.00      0.6182    
   59.00      0.5848    
   60.00      0.5486    
   61.00      0.5109    
   62.00      0.4726    
   63.00      0.4349    
   64.00      0.3985    
   65.00      0.3642    
   66.00      0.3323    
   67.00      0.3034    
   68.00      0.2778    
   69.00      0.2556    
   70.00      0.2370    
   71.00      0.2216    
   72.00      0.2093    
   73.00      0.1997    
   74.00      0.1921    
   75.00      0.1859    
   76.00      0.1808    
   77.00      0.1762    
   78.00      0.1717    
   79.00      0.1671    
   80.00      0.1622    
 END
