#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 9226.69 keV Jpi=2+ l=2 n=3 j=5/2"                
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       21.86    
   1.000       21.89    
   2.000       21.98    
   3.000       22.13    
   4.000       22.31    
   5.000       22.51    
   6.000       22.70    
   7.000       22.87    
   8.000       22.98    
   9.000       23.00    
   10.00       22.90    
   11.00       22.66    
   12.00       22.27    
   13.00       21.70    
   14.00       20.97    
   15.00       20.06    
   16.00       19.01    
   17.00       17.84    
   18.00       16.57    
   19.00       15.24    
   20.00       13.89    
   21.00       12.55    
   22.00       11.26    
   23.00       10.05    
   24.00       8.933    
   25.00       7.935    
   26.00       7.061    
   27.00       6.314    
   28.00       5.689    
   29.00       5.175    
   30.00       4.759    
   31.00       4.424    
   32.00       4.152    
   33.00       3.927    
   34.00       3.731    
   35.00       3.551    
   36.00       3.376    
   37.00       3.199    
   38.00       3.015    
   39.00       2.822    
   40.00       2.621    
   41.00       2.415    
   42.00       2.207    
   43.00       2.002    
   44.00       1.806    
   45.00       1.622    
   46.00       1.455    
   47.00       1.308    
   48.00       1.183    
   49.00       1.080    
   50.00      0.9984    
   51.00      0.9372    
   52.00      0.8937    
   53.00      0.8649    
   54.00      0.8474    
   55.00      0.8379    
   56.00      0.8328    
   57.00      0.8290    
   58.00      0.8240    
   59.00      0.8155    
   60.00      0.8020    
   61.00      0.7825    
   62.00      0.7567    
   63.00      0.7247    
   64.00      0.6871    
   65.00      0.6450    
   66.00      0.5995    
   67.00      0.5519    
   68.00      0.5037    
   69.00      0.4562    
   70.00      0.4105    
   71.00      0.3678    
   72.00      0.3288    
   73.00      0.2941    
   74.00      0.2640    
   75.00      0.2388    
   76.00      0.2181    
   77.00      0.2019    
   78.00      0.1896    
   79.00      0.1807    
   80.00      0.1747    
 END
