#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 8995 keV Jpi=2+ l=2 n=3 j=5/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       23.62    
   1.000       23.66    
   2.000       23.78    
   3.000       23.96    
   4.000       24.19    
   5.000       24.45    
   6.000       24.70    
   7.000       24.91    
   8.000       25.06    
   9.000       25.10    
   10.00       25.01    
   11.00       24.77    
   12.00       24.34    
   13.00       23.73    
   14.00       22.93    
   15.00       21.94    
   16.00       20.78    
   17.00       19.48    
   18.00       18.07    
   19.00       16.59    
   20.00       15.08    
   21.00       13.59    
   22.00       12.16    
   23.00       10.81    
   24.00       9.575    
   25.00       8.475    
   26.00       7.519    
   27.00       6.706    
   28.00       6.030    
   29.00       5.480    
   30.00       5.039    
   31.00       4.688    
   32.00       4.406    
   33.00       4.174    
   34.00       3.974    
   35.00       3.790    
   36.00       3.610    
   37.00       3.425    
   38.00       3.230    
   39.00       3.024    
   40.00       2.806    
   41.00       2.582    
   42.00       2.355    
   43.00       2.131    
   44.00       1.917    
   45.00       1.716    
   46.00       1.535    
   47.00       1.375    
   48.00       1.239    
   49.00       1.129    
   50.00       1.042    
   51.00      0.9766    
   52.00      0.9311    
   53.00      0.9016    
   54.00      0.8842    
   55.00      0.8752    
   56.00      0.8707    
   57.00      0.8673    
   58.00      0.8621    
   59.00      0.8528    
   60.00      0.8377    
   61.00      0.8160    
   62.00      0.7873    
   63.00      0.7520    
   64.00      0.7110    
   65.00      0.6652    
   66.00      0.6162    
   67.00      0.5653    
   68.00      0.5142    
   69.00      0.4641    
   70.00      0.4164    
   71.00      0.3721    
   72.00      0.3321    
   73.00      0.2969    
   74.00      0.2668    
   75.00      0.2418    
   76.00      0.2218    
   77.00      0.2064    
   78.00      0.1950    
   79.00      0.1871    
   80.00      0.1819    
 END
