#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 8995 keV Jpi=2+ l=4 n=1 j=7/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       1.198    
   1.000       1.197    
   2.000       1.195    
   3.000       1.192    
   4.000       1.187    
   5.000       1.182    
   6.000       1.176    
   7.000       1.171    
   8.000       1.166    
   9.000       1.163    
   10.00       1.160    
   11.00       1.160    
   12.00       1.161    
   13.00       1.163    
   14.00       1.168    
   15.00       1.174    
   16.00       1.180    
   17.00       1.187    
   18.00       1.193    
   19.00       1.198    
   20.00       1.200    
   21.00       1.199    
   22.00       1.193    
   23.00       1.183    
   24.00       1.166    
   25.00       1.143    
   26.00       1.113    
   27.00       1.077    
   28.00       1.035    
   29.00      0.9865    
   30.00      0.9331    
   31.00      0.8755    
   32.00      0.8147    
   33.00      0.7520    
   34.00      0.6884    
   35.00      0.6252    
   36.00      0.5636    
   37.00      0.5045    
   38.00      0.4490    
   39.00      0.3978    
   40.00      0.3515    
   41.00      0.3104    
   42.00      0.2748    
   43.00      0.2445    
   44.00      0.2195    
   45.00      0.1993    
   46.00      0.1834    
   47.00      0.1712    
   48.00      0.1622    
   49.00      0.1556    
   50.00      0.1509    
   51.00      0.1474    
   52.00      0.1446    
   53.00      0.1421    
   54.00      0.1394    
   55.00      0.1364    
   56.00      0.1327    
   57.00      0.1283    
   58.00      0.1232    
   59.00      0.1174    
   60.00      0.1110    
   61.00      0.1042    
   62.00      0.9718E-01
   63.00      0.9000E-01
   64.00      0.8288E-01
   65.00      0.7595E-01
   66.00      0.6935E-01
   67.00      0.6319E-01
   68.00      0.5754E-01
   69.00      0.5244E-01
   70.00      0.4794E-01
   71.00      0.4404E-01
   72.00      0.4070E-01
   73.00      0.3789E-01
   74.00      0.3557E-01
   75.00      0.3365E-01
   76.00      0.3208E-01
   77.00      0.3078E-01
   78.00      0.2969E-01
   79.00      0.2876E-01
   80.00      0.2793E-01
 END
