#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 8019 keV Jpi=0+ l=2 n=3 j=3/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       6.144    
   1.000       6.152    
   2.000       6.178    
   3.000       6.220    
   4.000       6.273    
   5.000       6.334    
   6.000       6.396    
   7.000       6.452    
   8.000       6.491    
   9.000       6.504    
   10.00       6.481    
   11.00       6.413    
   12.00       6.294    
   13.00       6.119    
   14.00       5.889    
   15.00       5.605    
   16.00       5.273    
   17.00       4.902    
   18.00       4.504    
   19.00       4.091    
   20.00       3.676    
   21.00       3.271    
   22.00       2.888    
   23.00       2.537    
   24.00       2.224    
   25.00       1.955    
   26.00       1.730    
   27.00       1.548    
   28.00       1.406    
   29.00       1.298    
   30.00       1.218    
   31.00       1.158    
   32.00       1.111    
   33.00       1.072    
   34.00       1.034    
   35.00      0.9942    
   36.00      0.9487    
   37.00      0.8962    
   38.00      0.8366    
   39.00      0.7706    
   40.00      0.6998    
   41.00      0.6263    
   42.00      0.5527    
   43.00      0.4813    
   44.00      0.4145    
   45.00      0.3542    
   46.00      0.3018    
   47.00      0.2584    
   48.00      0.2242    
   49.00      0.1990    
   50.00      0.1822    
   51.00      0.1727    
   52.00      0.1692    
   53.00      0.1702    
   54.00      0.1742    
   55.00      0.1798    
   56.00      0.1858    
   57.00      0.1910    
   58.00      0.1945    
   59.00      0.1958    
   60.00      0.1944    
   61.00      0.1904    
   62.00      0.1838    
   63.00      0.1748    
   64.00      0.1640    
   65.00      0.1518    
   66.00      0.1387    
   67.00      0.1254    
   68.00      0.1122    
   69.00      0.9957E-01
   70.00      0.8795E-01
   71.00      0.7755E-01
   72.00      0.6851E-01
   73.00      0.6092E-01
   74.00      0.5475E-01
   75.00      0.4991E-01
   76.00      0.4626E-01
   77.00      0.4362E-01
   78.00      0.4180E-01
   79.00      0.4057E-01
   80.00      0.3974E-01
 END
