#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 6750 keV Jpi=2- l=1 n=2 j=1/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       22.92    
   1.000       23.10    
   2.000       23.60    
   3.000       24.35    
   4.000       25.22    
   5.000       26.06    
   6.000       26.73    
   7.000       27.07    
   8.000       26.97    
   9.000       26.36    
   10.00       25.22    
   11.00       23.58    
   12.00       21.52    
   13.00       19.16    
   14.00       16.64    
   15.00       14.12    
   16.00       11.73    
   17.00       9.584    
   18.00       7.779    
   19.00       6.357    
   20.00       5.330    
   21.00       4.673    
   22.00       4.335    
   23.00       4.247    
   24.00       4.333    
   25.00       4.513    
   26.00       4.716    
   27.00       4.884    
   28.00       4.974    
   29.00       4.959    
   30.00       4.831    
   31.00       4.594    
   32.00       4.264    
   33.00       3.865    
   34.00       3.426    
   35.00       2.974    
   36.00       2.535    
   37.00       2.130    
   38.00       1.777    
   39.00       1.483    
   40.00       1.254    
   41.00       1.088    
   42.00      0.9780    
   43.00      0.9161    
   44.00      0.8913    
   45.00      0.8920    
   46.00      0.9073    
   47.00      0.9273    
   48.00      0.9440    
   49.00      0.9518    
   50.00      0.9470    
   51.00      0.9282    
   52.00      0.8957    
   53.00      0.8514    
   54.00      0.7979    
   55.00      0.7386    
   56.00      0.6770    
   57.00      0.6166    
   58.00      0.5604    
   59.00      0.5107    
   60.00      0.4692    
   61.00      0.4369    
   62.00      0.4137    
   63.00      0.3992    
   64.00      0.3923    
   65.00      0.3916    
   66.00      0.3954    
   67.00      0.4019    
   68.00      0.4095    
   69.00      0.4166    
   70.00      0.4218    
   71.00      0.4242    
   72.00      0.4229    
   73.00      0.4174    
   74.00      0.4078    
   75.00      0.3940    
   76.00      0.3766    
   77.00      0.3560    
   78.00      0.3330    
   79.00      0.3084    
   80.00      0.2829    
 END
