#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 8188 keV Jpi=5- l=7 n=1 j=13/2"                  
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000      0.2064    
   1.000      0.2033    
   2.000      0.1943    
   3.000      0.1800    
   4.000      0.1618    
   5.000      0.1414    
   6.000      0.1212    
   7.000      0.1036    
   8.000      0.9075E-01
   9.000      0.8427E-01
   10.00      0.8457E-01
   11.00      0.9080E-01
   12.00      0.1009    
   13.00      0.1120    
   14.00      0.1213    
   15.00      0.1266    
   16.00      0.1266    
   17.00      0.1218    
   18.00      0.1136    
   19.00      0.1042    
   20.00      0.9575E-01
   21.00      0.9001E-01
   22.00      0.8773E-01
   23.00      0.8873E-01
   24.00      0.9209E-01
   25.00      0.9658E-01
   26.00      0.1010    
   27.00      0.1046    
   28.00      0.1070    
   29.00      0.1084    
   30.00      0.1091    
   31.00      0.1097    
   32.00      0.1103    
   33.00      0.1109    
   34.00      0.1116    
   35.00      0.1121    
   36.00      0.1125    
   37.00      0.1128    
   38.00      0.1137    
   39.00      0.1154    
   40.00      0.1186    
   41.00      0.1233    
   42.00      0.1294    
   43.00      0.1363    
   44.00      0.1431    
   45.00      0.1487    
   46.00      0.1521    
   47.00      0.1527    
   48.00      0.1502    
   49.00      0.1451    
   50.00      0.1381    
   51.00      0.1303    
   52.00      0.1229    
   53.00      0.1168    
   54.00      0.1125    
   55.00      0.1102    
   56.00      0.1095    
   57.00      0.1096    
   58.00      0.1096    
   59.00      0.1087    
   60.00      0.1061    
   61.00      0.1016    
   62.00      0.9518E-01
   63.00      0.8734E-01
   64.00      0.7876E-01
   65.00      0.7025E-01
   66.00      0.6257E-01
   67.00      0.5632E-01
   68.00      0.5183E-01
   69.00      0.4912E-01
   70.00      0.4798E-01
   71.00      0.4795E-01
   72.00      0.4851E-01
   73.00      0.4912E-01
   74.00      0.4931E-01
   75.00      0.4881E-01
   76.00      0.4750E-01
   77.00      0.4549E-01
   78.00      0.4302E-01
   79.00      0.4048E-01
   80.00      0.3823E-01
 END
