#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 8188 keV Jpi=4- l=5 n=1 j=11/2"                  
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000      0.3749    
   1.000      0.3749    
   2.000      0.3749    
   3.000      0.3750    
   4.000      0.3753    
   5.000      0.3761    
   6.000      0.3777    
   7.000      0.3802    
   8.000      0.3839    
   9.000      0.3890    
   10.00      0.3959    
   11.00      0.4046    
   12.00      0.4152    
   13.00      0.4280    
   14.00      0.4429    
   15.00      0.4598    
   16.00      0.4788    
   17.00      0.4996    
   18.00      0.5220    
   19.00      0.5457    
   20.00      0.5704    
   21.00      0.5956    
   22.00      0.6209    
   23.00      0.6458    
   24.00      0.6697    
   25.00      0.6920    
   26.00      0.7122    
   27.00      0.7296    
   28.00      0.7436    
   29.00      0.7538    
   30.00      0.7596    
   31.00      0.7607    
   32.00      0.7566    
   33.00      0.7474    
   34.00      0.7328    
   35.00      0.7132    
   36.00      0.6888    
   37.00      0.6600    
   38.00      0.6274    
   39.00      0.5917    
   40.00      0.5538    
   41.00      0.5143    
   42.00      0.4742    
   43.00      0.4342    
   44.00      0.3950    
   45.00      0.3574    
   46.00      0.3218    
   47.00      0.2889    
   48.00      0.2589    
   49.00      0.2322    
   50.00      0.2087    
   51.00      0.1887    
   52.00      0.1719    
   53.00      0.1583    
   54.00      0.1476    
   55.00      0.1394    
   56.00      0.1335    
   57.00      0.1293    
   58.00      0.1266    
   59.00      0.1250    
   60.00      0.1240    
   61.00      0.1235    
   62.00      0.1230    
   63.00      0.1224    
   64.00      0.1216    
   65.00      0.1203    
   66.00      0.1186    
   67.00      0.1164    
   68.00      0.1137    
   69.00      0.1106    
   70.00      0.1070    
   71.00      0.1032    
   72.00      0.9920E-01
   73.00      0.9504E-01
   74.00      0.9083E-01
   75.00      0.8665E-01
   76.00      0.8257E-01
   77.00      0.7864E-01
   78.00      0.7491E-01
   79.00      0.7140E-01
   80.00      0.6814E-01
 END
