#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 8113 keV Jpi=1- l=1 n=3 j=1/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       30.17    
   1.000       30.14    
   2.000       30.04    
   3.000       29.84    
   4.000       29.49    
   5.000       28.95    
   6.000       28.17    
   7.000       27.10    
   8.000       25.75    
   9.000       24.10    
   10.00       22.21    
   11.00       20.11    
   12.00       17.90    
   13.00       15.64    
   14.00       13.44    
   15.00       11.36    
   16.00       9.489    
   17.00       7.874    
   18.00       6.551    
   19.00       5.533    
   20.00       4.810    
   21.00       4.354    
   22.00       4.119    
   23.00       4.053    
   24.00       4.098    
   25.00       4.199    
   26.00       4.308    
   27.00       4.388    
   28.00       4.410    
   29.00       4.361    
   30.00       4.233    
   31.00       4.032    
   32.00       3.767    
   33.00       3.454    
   34.00       3.112    
   35.00       2.759    
   36.00       2.413    
   37.00       2.090    
   38.00       1.800    
   39.00       1.550    
   40.00       1.345    
   41.00       1.183    
   42.00       1.062    
   43.00      0.9765    
   44.00      0.9202    
   45.00      0.8860    
   46.00      0.8667    
   47.00      0.8559    
   48.00      0.8478    
   49.00      0.8379    
   50.00      0.8232    
   51.00      0.8021    
   52.00      0.7742    
   53.00      0.7402    
   54.00      0.7013    
   55.00      0.6593    
   56.00      0.6159    
   57.00      0.5729    
   58.00      0.5321    
   59.00      0.4946    
   60.00      0.4616    
   61.00      0.4335    
   62.00      0.4104    
   63.00      0.3921    
   64.00      0.3778    
   65.00      0.3665    
   66.00      0.3573    
   67.00      0.3492    
   68.00      0.3411    
   69.00      0.3324    
   70.00      0.3224    
   71.00      0.3106    
   72.00      0.2968    
   73.00      0.2809    
   74.00      0.2629    
   75.00      0.2430    
   76.00      0.2217    
   77.00      0.1995    
   78.00      0.1771    
   79.00      0.1552    
   80.00      0.1344    
 END
