#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 8484 keV Jpi=2- l=3 n=1 j=5/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       3.206    
   1.000       3.214    
   2.000       3.236    
   3.000       3.273    
   4.000       3.323    
   5.000       3.385    
   6.000       3.456    
   7.000       3.534    
   8.000       3.615    
   9.000       3.697    
   10.00       3.774    
   11.00       3.842    
   12.00       3.899    
   13.00       3.939    
   14.00       3.959    
   15.00       3.956    
   16.00       3.927    
   17.00       3.870    
   18.00       3.784    
   19.00       3.669    
   20.00       3.525    
   21.00       3.355    
   22.00       3.162    
   23.00       2.950    
   24.00       2.724    
   25.00       2.491    
   26.00       2.255    
   27.00       2.021    
   28.00       1.796    
   29.00       1.584    
   30.00       1.389    
   31.00       1.214    
   32.00       1.061    
   33.00      0.9315    
   34.00      0.8245    
   35.00      0.7395    
   36.00      0.6746    
   37.00      0.6274    
   38.00      0.5950    
   39.00      0.5742    
   40.00      0.5619    
   41.00      0.5551    
   42.00      0.5511    
   43.00      0.5476    
   44.00      0.5427    
   45.00      0.5349    
   46.00      0.5233    
   47.00      0.5074    
   48.00      0.4870    
   49.00      0.4626    
   50.00      0.4347    
   51.00      0.4041    
   52.00      0.3719    
   53.00      0.3389    
   54.00      0.3061    
   55.00      0.2744    
   56.00      0.2444    
   57.00      0.2168    
   58.00      0.1918    
   59.00      0.1697    
   60.00      0.1505    
   61.00      0.1343    
   62.00      0.1208    
   63.00      0.1099    
   64.00      0.1011    
   65.00      0.9421E-01
   66.00      0.8880E-01
   67.00      0.8455E-01
   68.00      0.8115E-01
   69.00      0.7832E-01
   70.00      0.7587E-01
   71.00      0.7362E-01
   72.00      0.7147E-01
   73.00      0.6936E-01
   74.00      0.6725E-01
   75.00      0.6515E-01
   76.00      0.6307E-01
   77.00      0.6104E-01
   78.00      0.5910E-01
   79.00      0.5728E-01
   80.00      0.5560E-01
 END
