#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 6931 keV Jpi=3- l=5 n=1 j=9/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000      0.2681    
   1.000      0.2674    
   2.000      0.2653    
   3.000      0.2618    
   4.000      0.2571    
   5.000      0.2515    
   6.000      0.2453    
   7.000      0.2386    
   8.000      0.2321    
   9.000      0.2260    
   10.00      0.2208    
   11.00      0.2168    
   12.00      0.2147    
   13.00      0.2146    
   14.00      0.2170    
   15.00      0.2221    
   16.00      0.2301    
   17.00      0.2411    
   18.00      0.2550    
   19.00      0.2717    
   20.00      0.2909    
   21.00      0.3123    
   22.00      0.3354    
   23.00      0.3597    
   24.00      0.3845    
   25.00      0.4092    
   26.00      0.4330    
   27.00      0.4553    
   28.00      0.4753    
   29.00      0.4923    
   30.00      0.5058    
   31.00      0.5153    
   32.00      0.5202    
   33.00      0.5204    
   34.00      0.5157    
   35.00      0.5062    
   36.00      0.4920    
   37.00      0.4736    
   38.00      0.4514    
   39.00      0.4261    
   40.00      0.3983    
   41.00      0.3688    
   42.00      0.3384    
   43.00      0.3079    
   44.00      0.2779    
   45.00      0.2492    
   46.00      0.2222    
   47.00      0.1974    
   48.00      0.1753    
   49.00      0.1559    
   50.00      0.1393    
   51.00      0.1257    
   52.00      0.1148    
   53.00      0.1065    
   54.00      0.1005    
   55.00      0.9644E-01
   56.00      0.9405E-01
   57.00      0.9294E-01
   58.00      0.9276E-01
   59.00      0.9318E-01
   60.00      0.9389E-01
   61.00      0.9463E-01
   62.00      0.9519E-01
   63.00      0.9539E-01
   64.00      0.9513E-01
   65.00      0.9433E-01
   66.00      0.9297E-01
   67.00      0.9107E-01
   68.00      0.8866E-01
   69.00      0.8582E-01
   70.00      0.8262E-01
   71.00      0.7916E-01
   72.00      0.7552E-01
   73.00      0.7181E-01
   74.00      0.6810E-01
   75.00      0.6445E-01
   76.00      0.6095E-01
   77.00      0.5762E-01
   78.00      0.5450E-01
   79.00      0.5163E-01
   80.00      0.4899E-01
 END
