#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 9227.43 keV Jpi=1+ l=0 n=4 j=1/2"                
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       28.17    
   1.000       27.80    
   2.000       26.72    
   3.000       25.00    
   4.000       22.75    
   5.000       20.12    
   6.000       17.28    
   7.000       14.39    
   8.000       11.61    
   9.000       9.067    
   10.00       6.872    
   11.00       5.092    
   12.00       3.752    
   13.00       2.846    
   14.00       2.332    
   15.00       2.148    
   16.00       2.215    
   17.00       2.449    
   18.00       2.769    
   19.00       3.104    
   20.00       3.396    
   21.00       3.605    
   22.00       3.711    
   23.00       3.706    
   24.00       3.600    
   25.00       3.408    
   26.00       3.156    
   27.00       2.870    
   28.00       2.575    
   29.00       2.292    
   30.00       2.041    
   31.00       1.830    
   32.00       1.668    
   33.00       1.552    
   34.00       1.481    
   35.00       1.446    
   36.00       1.437    
   37.00       1.445    
   38.00       1.460    
   39.00       1.474    
   40.00       1.477    
   41.00       1.467    
   42.00       1.438    
   43.00       1.391    
   44.00       1.326    
   45.00       1.245    
   46.00       1.151    
   47.00       1.048    
   48.00      0.9394    
   49.00      0.8305    
   50.00      0.7246    
   51.00      0.6251    
   52.00      0.5347    
   53.00      0.4556    
   54.00      0.3889    
   55.00      0.3355    
   56.00      0.2952    
   57.00      0.2676    
   58.00      0.2517    
   59.00      0.2461    
   60.00      0.2494    
   61.00      0.2596    
   62.00      0.2751    
   63.00      0.2940    
   64.00      0.3147    
   65.00      0.3356    
   66.00      0.3552    
   67.00      0.3724    
   68.00      0.3863    
   69.00      0.3960    
   70.00      0.4011    
   71.00      0.4014    
   72.00      0.3966    
   73.00      0.3871    
   74.00      0.3730    
   75.00      0.3549    
   76.00      0.3333    
   77.00      0.3089    
   78.00      0.2824    
   79.00      0.2545    
   80.00      0.2261    
 END
