#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 8188 keV Jpi=4- l=3 n=1 j=5/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       5.657    
   1.000       5.672    
   2.000       5.717    
   3.000       5.789    
   4.000       5.888    
   5.000       6.011    
   6.000       6.151    
   7.000       6.306    
   8.000       6.469    
   9.000       6.633    
   10.00       6.791    
   11.00       6.936    
   12.00       7.060    
   13.00       7.156    
   14.00       7.217    
   15.00       7.236    
   16.00       7.209    
   17.00       7.130    
   18.00       6.995    
   19.00       6.803    
   20.00       6.554    
   21.00       6.251    
   22.00       5.899    
   23.00       5.506    
   24.00       5.083    
   25.00       4.641    
   26.00       4.193    
   27.00       3.750    
   28.00       3.322    
   29.00       2.921    
   30.00       2.551    
   31.00       2.220    
   32.00       1.931    
   33.00       1.686    
   34.00       1.485    
   35.00       1.326    
   36.00       1.207    
   37.00       1.121    
   38.00       1.065    
   39.00       1.031    
   40.00       1.012    
   41.00       1.004    
   42.00      0.9996    
   43.00      0.9952    
   44.00      0.9869    
   45.00      0.9726    
   46.00      0.9508    
   47.00      0.9209    
   48.00      0.8830    
   49.00      0.8377    
   50.00      0.7861    
   51.00      0.7296    
   52.00      0.6699    
   53.00      0.6087    
   54.00      0.5479    
   55.00      0.4891    
   56.00      0.4338    
   57.00      0.3831    
   58.00      0.3377    
   59.00      0.2980    
   60.00      0.2641    
   61.00      0.2357    
   62.00      0.2125    
   63.00      0.1937    
   64.00      0.1788    
   65.00      0.1672    
   66.00      0.1583    
   67.00      0.1513    
   68.00      0.1457    
   69.00      0.1411    
   70.00      0.1371    
   71.00      0.1334    
   72.00      0.1297    
   73.00      0.1260    
   74.00      0.1221    
   75.00      0.1183    
   76.00      0.1145    
   77.00      0.1108    
   78.00      0.1073    
   79.00      0.1041    
   80.00      0.1013    
 END
