#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 9432 keV Jpi=1- l=1 n=3 j=1/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       18.27    
   1.000       18.21    
   2.000       18.02    
   3.000       17.71    
   4.000       17.26    
   5.000       16.68    
   6.000       15.97    
   7.000       15.12    
   8.000       14.15    
   9.000       13.08    
   10.00       11.93    
   11.00       10.72    
   12.00       9.509    
   13.00       8.317    
   14.00       7.186    
   15.00       6.146    
   16.00       5.223    
   17.00       4.435    
   18.00       3.790    
   19.00       3.291    
   20.00       2.929    
   21.00       2.691    
   22.00       2.557    
   23.00       2.503    
   24.00       2.504    
   25.00       2.534    
   26.00       2.574    
   27.00       2.603    
   28.00       2.611    
   29.00       2.587    
   30.00       2.528    
   31.00       2.435    
   32.00       2.309    
   33.00       2.158    
   34.00       1.990    
   35.00       1.812    
   36.00       1.632    
   37.00       1.458    
   38.00       1.296    
   39.00       1.150    
   40.00       1.022    
   41.00      0.9145    
   42.00      0.8263    
   43.00      0.7564    
   44.00      0.7029    
   45.00      0.6629    
   46.00      0.6333    
   47.00      0.6110    
   48.00      0.5933    
   49.00      0.5777    
   50.00      0.5625    
   51.00      0.5465    
   52.00      0.5289    
   53.00      0.5094    
   54.00      0.4881    
   55.00      0.4652    
   56.00      0.4415    
   57.00      0.4175    
   58.00      0.3940    
   59.00      0.3717    
   60.00      0.3509    
   61.00      0.3321    
   62.00      0.3153    
   63.00      0.3005    
   64.00      0.2876    
   65.00      0.2765    
   66.00      0.2667    
   67.00      0.2580    
   68.00      0.2499    
   69.00      0.2420    
   70.00      0.2338    
   71.00      0.2250    
   72.00      0.2153    
   73.00      0.2047    
   74.00      0.1933    
   75.00      0.1810    
   76.00      0.1681    
   77.00      0.1547    
   78.00      0.1410    
   79.00      0.1273    
   80.00      0.1139    
 END
