#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 9226.69 keV Jpi=2- l=3 n=2 j=7/2"                
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       8.546    
   1.000       8.557    
   2.000       8.589    
   3.000       8.640    
   4.000       8.707    
   5.000       8.786    
   6.000       8.871    
   7.000       8.956    
   8.000       9.033    
   9.000       9.095    
   10.00       9.135    
   11.00       9.146    
   12.00       9.122    
   13.00       9.058    
   14.00       8.949    
   15.00       8.794    
   16.00       8.590    
   17.00       8.338    
   18.00       8.040    
   19.00       7.698    
   20.00       7.316    
   21.00       6.900    
   22.00       6.457    
   23.00       5.994    
   24.00       5.520    
   25.00       5.044    
   26.00       4.575    
   27.00       4.121    
   28.00       3.691    
   29.00       3.290    
   30.00       2.925    
   31.00       2.599    
   32.00       2.315    
   33.00       2.072    
   34.00       1.871    
   35.00       1.707    
   36.00       1.579    
   37.00       1.481    
   38.00       1.408    
   39.00       1.354    
   40.00       1.315    
   41.00       1.285    
   42.00       1.260    
   43.00       1.235    
   44.00       1.207    
   45.00       1.174    
   46.00       1.134    
   47.00       1.087    
   48.00       1.032    
   49.00      0.9712    
   50.00      0.9046    
   51.00      0.8340    
   52.00      0.7614    
   53.00      0.6886    
   54.00      0.6174    
   55.00      0.5495    
   56.00      0.4861    
   57.00      0.4285    
   58.00      0.3773    
   59.00      0.3329    
   60.00      0.2954    
   61.00      0.2647    
   62.00      0.2403    
   63.00      0.2215    
   64.00      0.2077    
   65.00      0.1979    
   66.00      0.1912    
   67.00      0.1869    
   68.00      0.1840    
   69.00      0.1818    
   70.00      0.1797    
   71.00      0.1774    
   72.00      0.1743    
   73.00      0.1705    
   74.00      0.1657    
   75.00      0.1600    
   76.00      0.1536    
   77.00      0.1466    
   78.00      0.1392    
   79.00      0.1316    
   80.00      0.1242    
 END
