#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 7114 keV Jpi=4- l=5 n=1 j=11/2"                  
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000      0.2186    
   1.000      0.2185    
   2.000      0.2185    
   3.000      0.2186    
   4.000      0.2189    
   5.000      0.2195    
   6.000      0.2207    
   7.000      0.2226    
   8.000      0.2254    
   9.000      0.2293    
   10.00      0.2346    
   11.00      0.2414    
   12.00      0.2500    
   13.00      0.2604    
   14.00      0.2729    
   15.00      0.2874    
   16.00      0.3040    
   17.00      0.3228    
   18.00      0.3435    
   19.00      0.3662    
   20.00      0.3906    
   21.00      0.4164    
   22.00      0.4433    
   23.00      0.4708    
   24.00      0.4983    
   25.00      0.5253    
   26.00      0.5512    
   27.00      0.5752    
   28.00      0.5967    
   29.00      0.6149    
   30.00      0.6292    
   31.00      0.6390    
   32.00      0.6438    
   33.00      0.6433    
   34.00      0.6373    
   35.00      0.6258    
   36.00      0.6089    
   37.00      0.5871    
   38.00      0.5609    
   39.00      0.5309    
   40.00      0.4979    
   41.00      0.4627    
   42.00      0.4262    
   43.00      0.3894    
   44.00      0.3529    
   45.00      0.3177    
   46.00      0.2843    
   47.00      0.2534    
   48.00      0.2254    
   49.00      0.2005    
   50.00      0.1791    
   51.00      0.1610    
   52.00      0.1462    
   53.00      0.1345    
   54.00      0.1257    
   55.00      0.1194    
   56.00      0.1153    
   57.00      0.1128    
   58.00      0.1116    
   59.00      0.1114    
   60.00      0.1117    
   61.00      0.1123    
   62.00      0.1129    
   63.00      0.1132    
   64.00      0.1132    
   65.00      0.1127    
   66.00      0.1116    
   67.00      0.1100    
   68.00      0.1079    
   69.00      0.1054    
   70.00      0.1025    
   71.00      0.9922E-01
   72.00      0.9579E-01
   73.00      0.9224E-01
   74.00      0.8866E-01
   75.00      0.8511E-01
   76.00      0.8166E-01
   77.00      0.7835E-01
   78.00      0.7520E-01
   79.00      0.7224E-01
   80.00      0.6946E-01
 END
