#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 8995 keV Jpi=2+ l=4 n=2 j=7/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       2.911    
   1.000       2.916    
   2.000       2.929    
   3.000       2.951    
   4.000       2.982    
   5.000       3.019    
   6.000       3.063    
   7.000       3.112    
   8.000       3.164    
   9.000       3.217    
   10.00       3.271    
   11.00       3.323    
   12.00       3.372    
   13.00       3.418    
   14.00       3.458    
   15.00       3.493    
   16.00       3.521    
   17.00       3.540    
   18.00       3.551    
   19.00       3.550    
   20.00       3.537    
   21.00       3.511    
   22.00       3.469    
   23.00       3.411    
   24.00       3.336    
   25.00       3.245    
   26.00       3.137    
   27.00       3.014    
   28.00       2.876    
   29.00       2.725    
   30.00       2.563    
   31.00       2.393    
   32.00       2.217    
   33.00       2.038    
   34.00       1.859    
   35.00       1.683    
   36.00       1.513    
   37.00       1.352    
   38.00       1.202    
   39.00       1.066    
   40.00      0.9429    
   41.00      0.8351    
   42.00      0.7422    
   43.00      0.6639    
   44.00      0.5994    
   45.00      0.5475    
   46.00      0.5069    
   47.00      0.4760    
   48.00      0.4531    
   49.00      0.4365    
   50.00      0.4246    
   51.00      0.4156    
   52.00      0.4082    
   53.00      0.4010    
   54.00      0.3931    
   55.00      0.3837    
   56.00      0.3724    
   57.00      0.3589    
   58.00      0.3433    
   59.00      0.3259    
   60.00      0.3071    
   61.00      0.2872    
   62.00      0.2669    
   63.00      0.2466    
   64.00      0.2267    
   65.00      0.2077    
   66.00      0.1899    
   67.00      0.1735    
   68.00      0.1587    
   69.00      0.1457    
   70.00      0.1343    
   71.00      0.1247    
   72.00      0.1166    
   73.00      0.1099    
   74.00      0.1045    
   75.00      0.1001    
   76.00      0.9652E-01
   77.00      0.9346E-01
   78.00      0.9075E-01
   79.00      0.8820E-01
   80.00      0.8568E-01
 END
