#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 8484 keV Jpi=3- l=1 n=3 j=3/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       56.70    
   1.000       56.65    
   2.000       56.47    
   3.000       56.13    
   4.000       55.53    
   5.000       54.59    
   6.000       53.23    
   7.000       51.39    
   8.000       49.04    
   9.000       46.20    
   10.00       42.91    
   11.00       39.28    
   12.00       35.42    
   13.00       31.46    
   14.00       27.56    
   15.00       23.85    
   16.00       20.47    
   17.00       17.51    
   18.00       15.04    
   19.00       13.09    
   20.00       11.65    
   21.00       10.67    
   22.00       10.08    
   23.00       9.775    
   24.00       9.669    
   25.00       9.663    
   26.00       9.674    
   27.00       9.633    
   28.00       9.493    
   29.00       9.226    
   30.00       8.824    
   31.00       8.292    
   32.00       7.654    
   33.00       6.938    
   34.00       6.180    
   35.00       5.416    
   36.00       4.681    
   37.00       4.004    
   38.00       3.409    
   39.00       2.910    
   40.00       2.515    
   41.00       2.222    
   42.00       2.025    
   43.00       1.913    
   44.00       1.871    
   45.00       1.882    
   46.00       1.928    
   47.00       1.994    
   48.00       2.065    
   49.00       2.128    
   50.00       2.174    
   51.00       2.197    
   52.00       2.191    
   53.00       2.157    
   54.00       2.095    
   55.00       2.009    
   56.00       1.901    
   57.00       1.777    
   58.00       1.642    
   59.00       1.502    
   60.00       1.361    
   61.00       1.222    
   62.00       1.091    
   63.00      0.9683    
   64.00      0.8569    
   65.00      0.7577    
   66.00      0.6711    
   67.00      0.5971    
   68.00      0.5350    
   69.00      0.4840    
   70.00      0.4429    
   71.00      0.4105    
   72.00      0.3853    
   73.00      0.3663    
   74.00      0.3520    
   75.00      0.3414    
   76.00      0.3336    
   77.00      0.3276    
   78.00      0.3230    
   79.00      0.3191    
   80.00      0.3155    
 END
