#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 9405 keV Jpi=2- l=3 n=1 j=7/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       3.197    
   1.000       3.200    
   2.000       3.208    
   3.000       3.221    
   4.000       3.238    
   5.000       3.258    
   6.000       3.280    
   7.000       3.303    
   8.000       3.323    
   9.000       3.340    
   10.00       3.352    
   11.00       3.355    
   12.00       3.350    
   13.00       3.333    
   14.00       3.303    
   15.00       3.260    
   16.00       3.200    
   17.00       3.125    
   18.00       3.033    
   19.00       2.924    
   20.00       2.800    
   21.00       2.661    
   22.00       2.509    
   23.00       2.349    
   24.00       2.181    
   25.00       2.010    
   26.00       1.838    
   27.00       1.670    
   28.00       1.507    
   29.00       1.353    
   30.00       1.209    
   31.00       1.079    
   32.00      0.9627    
   33.00      0.8614    
   34.00      0.7752    
   35.00      0.7036    
   36.00      0.6455    
   37.00      0.5996    
   38.00      0.5642    
   39.00      0.5374    
   40.00      0.5174    
   41.00      0.5022    
   42.00      0.4901    
   43.00      0.4796    
   44.00      0.4693    
   45.00      0.4581    
   46.00      0.4453    
   47.00      0.4303    
   48.00      0.4129    
   49.00      0.3931    
   50.00      0.3712    
   51.00      0.3476    
   52.00      0.3228    
   53.00      0.2973    
   54.00      0.2719    
   55.00      0.2470    
   56.00      0.2230    
   57.00      0.2005    
   58.00      0.1797    
   59.00      0.1609    
   60.00      0.1441    
   61.00      0.1295    
   62.00      0.1168    
   63.00      0.1062    
   64.00      0.9723E-01
   65.00      0.8985E-01
   66.00      0.8377E-01
   67.00      0.7877E-01
   68.00      0.7459E-01
   69.00      0.7104E-01
   70.00      0.6792E-01
   71.00      0.6510E-01
   72.00      0.6247E-01
   73.00      0.5995E-01
   74.00      0.5751E-01
   75.00      0.5512E-01
   76.00      0.5280E-01
   77.00      0.5057E-01
   78.00      0.4845E-01
   79.00      0.4649E-01
   80.00      0.4470E-01
 END
