#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 9538 keV Jpi=1- l=1 n=2 j=1/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       9.128    
   1.000       9.096    
   2.000       8.999    
   3.000       8.837    
   4.000       8.608    
   5.000       8.312    
   6.000       7.949    
   7.000       7.524    
   8.000       7.043    
   9.000       6.515    
   10.00       5.953    
   11.00       5.373    
   12.00       4.794    
   13.00       4.233    
   14.00       3.709    
   15.00       3.237    
   16.00       2.829    
   17.00       2.495    
   18.00       2.237    
   19.00       2.054    
   20.00       1.941    
   21.00       1.888    
   22.00       1.883    
   23.00       1.911    
   24.00       1.959    
   25.00       2.013    
   26.00       2.061    
   27.00       2.093    
   28.00       2.102    
   29.00       2.084    
   30.00       2.036    
   31.00       1.961    
   32.00       1.861    
   33.00       1.739    
   34.00       1.602    
   35.00       1.456    
   36.00       1.305    
   37.00       1.155    
   38.00       1.011    
   39.00      0.8762    
   40.00      0.7530    
   41.00      0.6432    
   42.00      0.5475    
   43.00      0.4659    
   44.00      0.3977    
   45.00      0.3419    
   46.00      0.2971    
   47.00      0.2619    
   48.00      0.2347    
   49.00      0.2142    
   50.00      0.1992    
   51.00      0.1886    
   52.00      0.1816    
   53.00      0.1776    
   54.00      0.1761    
   55.00      0.1767    
   56.00      0.1790    
   57.00      0.1830    
   58.00      0.1884    
   59.00      0.1948    
   60.00      0.2021    
   61.00      0.2099    
   62.00      0.2178    
   63.00      0.2256    
   64.00      0.2327    
   65.00      0.2388    
   66.00      0.2436    
   67.00      0.2466    
   68.00      0.2477    
   69.00      0.2465    
   70.00      0.2431    
   71.00      0.2374    
   72.00      0.2293    
   73.00      0.2192    
   74.00      0.2071    
   75.00      0.1935    
   76.00      0.1786    
   77.00      0.1628    
   78.00      0.1465    
   79.00      0.1301    
   80.00      0.1139    
 END
