#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 8938 keV Jpi=0+ l=2 n=1 j=3/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       1.263    
   1.000       1.266    
   2.000       1.273    
   3.000       1.283    
   4.000       1.297    
   5.000       1.311    
   6.000       1.325    
   7.000       1.336    
   8.000       1.343    
   9.000       1.343    
   10.00       1.335    
   11.00       1.318    
   12.00       1.290    
   13.00       1.251    
   14.00       1.201    
   15.00       1.140    
   16.00       1.070    
   17.00      0.9931    
   18.00      0.9108    
   19.00      0.8258    
   20.00      0.7408    
   21.00      0.6581    
   22.00      0.5802    
   23.00      0.5086    
   24.00      0.4449    
   25.00      0.3898    
   26.00      0.3436    
   27.00      0.3062    
   28.00      0.2770    
   29.00      0.2550    
   30.00      0.2391    
   31.00      0.2279    
   32.00      0.2202    
   33.00      0.2146    
   34.00      0.2100    
   35.00      0.2055    
   36.00      0.2002    
   37.00      0.1938    
   38.00      0.1859    
   39.00      0.1765    
   40.00      0.1658    
   41.00      0.1541    
   42.00      0.1416    
   43.00      0.1289    
   44.00      0.1162    
   45.00      0.1041    
   46.00      0.9272E-01
   47.00      0.8244E-01
   48.00      0.7339E-01
   49.00      0.6569E-01
   50.00      0.5932E-01
   51.00      0.5422E-01
   52.00      0.5026E-01
   53.00      0.4727E-01
   54.00      0.4505E-01
   55.00      0.4341E-01
   56.00      0.4214E-01
   57.00      0.4107E-01
   58.00      0.4004E-01
   59.00      0.3893E-01
   60.00      0.3766E-01
   61.00      0.3616E-01
   62.00      0.3442E-01
   63.00      0.3245E-01
   64.00      0.3027E-01
   65.00      0.2795E-01
   66.00      0.2554E-01
   67.00      0.2312E-01
   68.00      0.2075E-01
   69.00      0.1850E-01
   70.00      0.1641E-01
   71.00      0.1452E-01
   72.00      0.1286E-01
   73.00      0.1145E-01
   74.00      0.1028E-01
   75.00      0.9351E-02
   76.00      0.8637E-02
   77.00      0.8112E-02
   78.00      0.7745E-02
   79.00      0.7501E-02
   80.00      0.7345E-02
 END
