#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 9227.43 keV Jpi=1- l=1 n=2 j=3/2"                
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       9.532    
   1.000       9.514    
   2.000       9.457    
   3.000       9.357    
   4.000       9.208    
   5.000       9.001    
   6.000       8.730    
   7.000       8.391    
   8.000       7.984    
   9.000       7.514    
   10.00       6.991    
   11.00       6.427    
   12.00       5.842    
   13.00       5.255    
   14.00       4.686    
   15.00       4.155    
   16.00       3.678    
   17.00       3.267    
   18.00       2.929    
   19.00       2.667    
   20.00       2.477    
   21.00       2.351    
   22.00       2.277    
   23.00       2.243    
   24.00       2.233    
   25.00       2.234    
   26.00       2.234    
   27.00       2.221    
   28.00       2.189    
   29.00       2.132    
   30.00       2.051    
   31.00       1.946    
   32.00       1.820    
   33.00       1.678    
   34.00       1.526    
   35.00       1.371    
   36.00       1.217    
   37.00       1.069    
   38.00      0.9332    
   39.00      0.8113    
   40.00      0.7055    
   41.00      0.6165    
   42.00      0.5442    
   43.00      0.4873    
   44.00      0.4442    
   45.00      0.4127    
   46.00      0.3906    
   47.00      0.3754    
   48.00      0.3650    
   49.00      0.3576    
   50.00      0.3515    
   51.00      0.3456    
   52.00      0.3390    
   53.00      0.3313    
   54.00      0.3223    
   55.00      0.3121    
   56.00      0.3008    
   57.00      0.2890    
   58.00      0.2768    
   59.00      0.2649    
   60.00      0.2535    
   61.00      0.2428    
   62.00      0.2332    
   63.00      0.2247    
   64.00      0.2173    
   65.00      0.2110    
   66.00      0.2055    
   67.00      0.2008    
   68.00      0.1965    
   69.00      0.1925    
   70.00      0.1885    
   71.00      0.1843    
   72.00      0.1797    
   73.00      0.1747    
   74.00      0.1691    
   75.00      0.1629    
   76.00      0.1561    
   77.00      0.1488    
   78.00      0.1409    
   79.00      0.1328    
   80.00      0.1244    
 END
