#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 8851 keV Jpi=8- l=9 n=1 j=19/2"                  
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       4449.    
   1.000       4460.    
   2.000       4493.    
   3.000       4537.    
   4.000       4582.    
   5.000       4613.    
   6.000       4616.    
   7.000       4581.    
   8.000       4501.    
   9.000       4375.    
   10.00       4205.    
   11.00       4002.    
   12.00       3776.    
   13.00       3539.    
   14.00       3305.    
   15.00       3084.    
   16.00       2884.    
   17.00       2710.    
   18.00       2562.    
   19.00       2442.    
   20.00       2346.    
   21.00       2270.    
   22.00       2211.    
   23.00       2165.    
   24.00       2129.    
   25.00       2101.    
   26.00       2078.    
   27.00       2060.    
   28.00       2044.    
   29.00       2031.    
   30.00       2018.    
   31.00       2007.    
   32.00       1996.    
   33.00       1986.    
   34.00       1974.    
   35.00       1963.    
   36.00       1951.    
   37.00       1938.    
   38.00       1924.    
   39.00       1908.    
   40.00       1891.    
   41.00       1872.    
   42.00       1852.    
   43.00       1830.    
   44.00       1806.    
   45.00       1781.    
   46.00       1754.    
   47.00       1726.    
   48.00       1697.    
   49.00       1667.    
   50.00       1636.    
   51.00       1605.    
   52.00       1574.    
   53.00       1543.    
   54.00       1513.    
   55.00       1484.    
   56.00       1456.    
   57.00       1429.    
   58.00       1403.    
   59.00       1378.    
   60.00       1352.    
   61.00       1327.    
   62.00       1302.    
   63.00       1277.    
   64.00       1253.    
   65.00       1230.    
   66.00       1208.    
   67.00       1189.    
   68.00       1172.    
   69.00       1156.    
   70.00       1143.    
   71.00       1131.    
   72.00       1119.    
   73.00       1108.    
   74.00       1097.    
   75.00       1085.    
   76.00       1074.    
   77.00       1064.    
   78.00       1055.    
   79.00       1049.    
   80.00       1045.    
 END
