#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 9227.43 keV Jpi=2+ l=2 n=3 j=3/2"                
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       24.00    
   1.000       24.01    
   2.000       24.05    
   3.000       24.10    
   4.000       24.15    
   5.000       24.19    
   6.000       24.20    
   7.000       24.16    
   8.000       24.05    
   9.000       23.84    
   10.00       23.51    
   11.00       23.04    
   12.00       22.42    
   13.00       21.65    
   14.00       20.73    
   15.00       19.67    
   16.00       18.50    
   17.00       17.24    
   18.00       15.91    
   19.00       14.57    
   20.00       13.23    
   21.00       11.93    
   22.00       10.71    
   23.00       9.588    
   24.00       8.579    
   25.00       7.694    
   26.00       6.937    
   27.00       6.304    
   28.00       5.785    
   29.00       5.365    
   30.00       5.027    
   31.00       4.752    
   32.00       4.520    
   33.00       4.315    
   34.00       4.119    
   35.00       3.922    
   36.00       3.715    
   37.00       3.492    
   38.00       3.254    
   39.00       3.000    
   40.00       2.735    
   41.00       2.465    
   42.00       2.197    
   43.00       1.937    
   44.00       1.693    
   45.00       1.470    
   46.00       1.274    
   47.00       1.107    
   48.00      0.9708    
   49.00      0.8660    
   50.00      0.7908    
   51.00      0.7425    
   52.00      0.7171    
   53.00      0.7104    
   54.00      0.7176    
   55.00      0.7338    
   56.00      0.7545    
   57.00      0.7756    
   58.00      0.7936    
   59.00      0.8057    
   60.00      0.8098    
   61.00      0.8050    
   62.00      0.7906    
   63.00      0.7670    
   64.00      0.7351    
   65.00      0.6961    
   66.00      0.6516    
   67.00      0.6032    
   68.00      0.5528    
   69.00      0.5020    
   70.00      0.4523    
   71.00      0.4050    
   72.00      0.3612    
   73.00      0.3216    
   74.00      0.2867    
   75.00      0.2567    
   76.00      0.2315    
   77.00      0.2109    
   78.00      0.1945    
   79.00      0.1816    
   80.00      0.1717    
 END
